trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,387.335,0.0,29.834,9.23954,
1,1,Hamilton (Mercedes),1,CORNER,200.344,29.834,29.834,6.7304,1.0596
1,1,Hamilton (Mercedes),2,STRAIGHT,332.138,29.834,36.186,5.61809,
1,1,Hamilton (Mercedes),3,CORNER,269.834,36.186,36.186,7.47178,1.0596
1,2,Hamilton (Mercedes),0,STRAIGHT,387.335,0.0,29.834,9.23954,
1,2,Hamilton (Mercedes),1,CORNER,200.344,29.834,29.834,6.7304,1.0596
1,2,Hamilton (Mercedes),2,STRAIGHT,332.138,29.834,36.186,5.61809,
1,2,Hamilton (Mercedes),3,CORNER,269.834,36.186,36.186,7.47178,1.0596
1,3,Hamilton (Mercedes),0,STRAIGHT,387.335,0.0,29.834,9.23954,
1,3,Hamilton (Mercedes),1,CORNER,200.344,29.834,29.834,6.7304,1.0596
1,3,Hamilton (Mercedes),2,STRAIGHT,332.138,29.834,36.186,5.61809,
1,3,Hamilton (Mercedes),3,CORNER,269.834,36.186,36.186,7.47178,1.0596
1,4,Hamilton (Mercedes),0,STRAIGHT,387.335,0.0,29.834,9.23954,
1,4,Hamilton (Mercedes),1,CORNER,200.344,29.834,29.834,6.7304,1.0596
1,4,Hamilton (Mercedes),2,STRAIGHT,332.138,29.834,36.186,5.61809,
1,4,Hamilton (Mercedes),3,CORNER,269.834,36.186,36.186,7.47178,1.0596
1,5,Hamilton (Mercedes),0,STRAIGHT,387.335,0.0,29.834,9.23954,
1,5,Hamilton (Mercedes),1,CORNER,200.344,29.834,29.834,6.7304,1.0596
1,5,Hamilton (Mercedes),2,STRAIGHT,332.138,29.834,36.186,5.61809,
1,5,Hamilton (Mercedes),3,CORNER,269.834,36.186,36.186,7.47178,1.0596
1,1,Verstappen (Red Bull),0,STRAIGHT,387.335,0.0,29.385,8.99681,
1,1,Verstappen (Red Bull),1,CORNER,200.344,29.385,29.385,6.83302,1.0295
1,1,Verstappen (Red Bull),2,STRAIGHT,332.138,29.385,35.629,5.51858,
1,1,Verstappen (Red Bull),3,CORNER,269.834,35.629,35.629,7.58836,1.0295
1,2,Verstappen (Red Bull),0,STRAIGHT,387.335,0.0,29.385,8.99681,
1,2,Verstappen (Red Bull),1,CORNER,200.344,29.385,29.385,6.83302,1.0295
1,2,Verstappen (Red Bull),2,STRAIGHT,332.138,29.385,35.629,5.51858,
1,2,Verstappen (Red Bull),3,CORNER,269.834,35.629,35.629,7.58836,1.0295
1,3,Verstappen (Red Bull),0,STRAIGHT,387.335,0.0,29.385,8.99681,
1,3,Verstappen (Red Bull),1,CORNER,200.344,29.385,29.385,6.83302,1.0295
1,3,Verstappen (Red Bull),2,STRAIGHT,332.138,29.385,35.629,5.51858,
1,3,Verstappen (Red Bull),3,CORNER,269.834,35.629,35.629,7.58836,1.0295
1,4,Verstappen (Red Bull),0,STRAIGHT,387.335,0.0,29.385,8.99681,
1,4,Verstappen (Red Bull),1,CORNER,200.344,29.385,29.385,6.83302,1.0295
1,4,Verstappen (Red Bull),2,STRAIGHT,332.138,29.385,35.629,5.51858,
1,4,Verstappen (Red Bull),3,CORNER,269.834,35.629,35.629,7.58836,1.0295
1,5,Verstappen (Red Bull),0,STRAIGHT,387.335,0.0,29.385,8.99681,
1,5,Verstappen (Red Bull),1,CORNER,200.344,29.385,29.385,6.83302,1.0295
1,5,Verstappen (Red Bull),2,STRAIGHT,332.138,29.385,35.629,5.51858,
1,5,Verstappen (Red Bull),3,CORNER,269.834,35.629,35.629,7.58836,1.0295
1,1,Norris (McLaren),0,STRAIGHT,387.335,0.0,28.806,8.96662,
1,1,Norris (McLaren),1,CORNER,200.344,28.806,28.806,6.96998,0.9998
1,1,Norris (McLaren),2,STRAIGHT,332.138,28.806,34.845,5.47792,
1,1,Norris (McLaren),3,CORNER,269.834,34.845,34.845,7.75885,0.9998
1,2,Norris (McLaren),0,STRAIGHT,387.335,0.0,28.806,8.96662,
1,2,Norris (McLaren),1,CORNER,200.344,28.806,28.806,6.96998,0.9998
1,2,Norris (McLaren),2,STRAIGHT,332.138,28.806,34.845,5.47792,
1,2,Norris (McLaren),3,CORNER,269.834,34.845,34.845,7.75885,0.9998
1,3,Norris (McLaren),0,STRAIGHT,387.335,0.0,28.806,8.96662,
1,3,Norris (McLaren),1,CORNER,200.344,28.806,28.806,6.96998,0.9998
1,3,Norris (McLaren),2,STRAIGHT,332.138,28.806,34.845,5.47792,
