trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),28.89336,28.89336,Sunny,0.05
1,2,Hamilton (Mercedes),28.53337,57.42673,Sunny,0.05
1,3,Hamilton (Mercedes),27.71482,85.14155,Sunny,0.05
1,4,Hamilton (Mercedes),28.15185,113.2934,Sunny,0.05
1,5,Hamilton (Mercedes),28.98066,142.27405,Sunny,0.05
1,1,Verstappen (Red Bull),27.66753,27.66753,Sunny,0.05
1,2,Verstappen (Red Bull),27.68894,55.35648,Sunny,0.05
1,3,Verstappen (Red Bull),27.99589,83.35236,Sunny,0.05
1,4,Verstappen (Red Bull),28.00034,111.35271,Sunny,0.05
1,5,Verstappen (Red Bull),28.69533,140.04804,Sunny,0.05
1,1,Norris (McLaren),28.21012,28.21012,Sunny,0.05
1,2,Norris (McLaren),28.59128,56.8014,Sunny,0.05
1,3,Norris (McLaren),27.93875,84.74015,Sunny,0.05
1,4,Norris (McLaren),28.39141,113.13156,Sunny,0.05
1,5,Norris (McLaren),28.67578,141.80735,Sunny,0.05
2,1,Hamilton (Mercedes),28.61859,28.61859,Sunny,0.05
2,2,Hamilton (Mercedes),27.88185,56.50044,Sunny,0.05
2,3,Hamilton (Mercedes),28.5164,85.01684,Sunny,0.05
2,4,Hamilton (Mercedes),28.70079,113.71763,Sunny,0.05
2,5,Hamilton (Mercedes),27.79613,141.51375,Sunny,0.05
2,1,Verstappen (Red Bull),28.89637,28.89637,Sunny,0.05
2,2,Verstappen (Red Bull),28.80005,57.69642,Sunny,0.05
2,3,Verstappen (Red Bull),28.49363,86.19005,Sunny,0.05
2,4,Verstappen (Red Bull),28.1691,114.35915,Sunny,0.05
2,5,Verstappen (Red Bull),28.12435,142.48349,Sunny,0.05
2,1,Norris (McLaren),28.73626,28.73626,Sunny,0.05
2,2,Norris (McLaren),28.55592,57.29219,Sunny,0.05
2,3,Norris (McLaren),28.85842,86.15061,Sunny,0.05
2,4,Norris (McLaren),28.67379,114.8244,Sunny,0.05
2,5,Norris (McLaren),28.65902,143.48342,Sunny,0.05
3,1,Hamilton (Mercedes),27.72495,27.72495,Sunny,0.05
3,2,Hamilton (Mercedes),27.59056,55.3155,Sunny,0.05
3,3,Hamilton (Mercedes),28.2508,83.5663,Sunny,0.05
3,4,Hamilton (Mercedes),29.04824,112.61454,Sunny,0.05
3,5,Hamilton (Mercedes),28.6126,141.22714,Sunny,0.05
3,1,Verstappen (Red Bull),28.62381,28.62381,Sunny,0.05
3,2,Verstappen (Red Bull),27.9551,56.57891,Sunny,0.05
3,3,Verstappen (Red Bull),27.61034,84.18925,Sunny,0.05
3,4,Verstappen (Red Bull),27.98806,112.17731,Sunny,0.05
3,5,Verstappen (Red Bull),27.54532,139.72263,Sunny,0.05
3,1,Norris (McLaren),26.75768,26.75768,Sunny,0.05
3,2,Norris (McLaren),28.66093,55.41861,Sunny,0.05
3,3,Norris (McLaren),28.11634,83.53494,Sunny,0.05
3,4,Norris (McLaren),29.06695,112.60189,Sunny,0.05
3,5,Norris (McLaren),28.92245,141.52435,Sunny,0.05
4,1,Hamilton (Mercedes),28.67141,28.67141,Sunny,0.05
4,2,Hamilton (Mercedes),27.46178,56.13318,Sunny,0.05
4,3,Hamilton (Mercedes),27.56034,83.69353,Sunny,0.05
4,4,Hamilton (Mercedes),28.75707,112.4506,Sunny,0.05
4,5,Hamilton (Mercedes),28.15276,140.60336,Sunny,0.05
4,1,Verstappen (Red Bull),28.29518,28.29518,Sunny,0.05
4,2,Verstappen (Red Bull),28.74173,57.03691,Sunny,0.05
4,3,Verstappen (Red Bull),28.10379,85.1407,Sunny,0.05
4,4,Verstappen (Red Bull),27.88135,113.02206,Sunny,0.05
4,5,Verstappen (Red Bull),28.56772,141.58977,Sunny,0.05
4,1,Norris (McLaren),28.03768,28.03768,Sunny,0.05
4,2,Norris (McLaren),28.96088,56.99856,Sunny,0.05
4,3,Norris (McLaren),28.90082,85.89938,Sunny,0.05
4,4,Norris (McLaren),29.74689,115.64627,Sunny,0.05
4,5,Norris (McLaren),29.58819,145.23446,Sunny,0.05
5,1,Hamilton (Mercedes),28.28067,28.28067,Sunny,0.05
5,2,Hamilton (Mercedes),28.99724,57.27791,Sunny,0.05
5,3,Hamilton (Mercedes),28.91032,86.18823,Sunny,0.05
5,4,Hamilton (Mercedes),28.09596,114.2842,Sunny,0.05
5,5,Hamilton (Mercedes),27.84577,142.12996,Sunny,0.05
5,1,Verstappen (Red Bull),27.75077,27.75077,Sunny,0.05
5,2,Verstappen (Red Bull),29.24836,56.99913,Sunny,0.05
5,3,Verstappen (Red Bull),28.51409,85.51322,Sunny,0.05
5,4,Verstappen (Red Bull),27.85744,113.37066,Sunny,0.05
5,5,Verstappen (Red Bull),28.63401,142.00467,Sunny,0.05
5,1,Norris (McLaren),28.65275,28.65275,Sunny,0.05
5,2,Norris (McLaren),28.98149,57.63424,Sunny,0.05
5,3,Norris (McLaren),29.46104,87.09528,Sunny,0.05
5,4,Norris (McLaren),28.56811,115.66339,Sunny,0.05
5,5,Norris (McLaren),29.1031,144.76649,Sunny,0.05
6,1,Hamilton (Mercedes),27.21767,27.21767,Sunny,0.05
6,2,Hamilton (Mercedes),28.27414,55.49181,Sunny,0.05
6,3,Hamilton (Mercedes),28.11512,83.60694,Sunny,0.05
6,4,Hamilton (Mercedes),28.59399,112.20092,Sunny,0.05
6,5,Hamilton (Mercedes),28.74031,140.94123,Sunny,0.05
6,1,Verstappen (Red Bull),28.59964,28.59964,Sunny,0.05
6,2,Verstappen (Red Bull),29.04464,57.64428,Sunny,0.05
6,3,Verstappen (Red Bull),28.81753,86.4618,Sunny,0.05
6,4,Verstappen (Red Bull),28.12657,114.58837,Sunny,0.05
6,5,Verstappen (Red Bull),27.17343,141.76181,Sunny,0.05
6,1,Norris (McLaren),27.0604,27.0604,Sunny,0.05
6,2,Norris (McLaren),29.48364,56.54404,Sunny,0.05
6,3,Norris (McLaren),28.10919,84.65323,Sunny,0.05
6,4,Norris (McLaren),28.85944,113.51268,Sunny,0.05
6,5,Norris (McLaren),28.2168,141.72947,Sunny,0.05
7,1,Hamilton (Mercedes),29.00065,29.00065,Sunny,0.05
7,2,Hamilton (Mercedes),28.07278,57.07343,Sunny,0.05
7,3,Hamilton (Mercedes),28.18336,85.25679,Sunny,0.05
7,4,Hamilton (Mercedes),28.66212,113.91891,Sunny,0.05
7,5,Hamilton (Mercedes),28.23178,142.15069,Sunny,0.05
7,1,Verstappen (Red Bull),27.78211,27.78211,Sunny,0.05
7,2,Verstappen (Red Bull),28.15088,55.93299,Sunny,0.05
7,3,Verstappen (Red Bull),27.45174,83.38472,Sunny,0.05
7,4,Verstappen (Red Bull),28.22397,111.60869,Sunny,0.05
7,5,Verstappen (Red Bull),28.99652,140.60521,Sunny,0.05
7,1,Norris (McLaren),29.65308,29.65308,Sunny,0.05
7,2,Norris (McLaren),27.29685,56.94993,Sunny,0.05
7,3,Norris (McLaren),29.70294,86.65286,Sunny,0.05
7,4,Norris (McLaren),28.99836,115.65122,Sunny,0.05
7,5,Norris (McLaren),29.26498,144.9162,Sunny,0.05
8,1,Hamilton (Mercedes),28.15506,28.15506,Sunny,0.05
8,2,Hamilton (Mercedes),28.50236,56.65742,Sunny,0.05
8,3,Hamilton (Mercedes),28.55687,85.21429,Sunny,0.05
8,4,Hamilton (Mercedes),28.98009,114.19438,Sunny,0.05
8,5,Hamilton (Mercedes),29.18974,143.38412,Sunny,0.05
8,1,Verstappen (Red Bull),28.61924,28.61924,Sunny,0.05
8,2,Verstappen (Red Bull),28.52574,57.14499,Sunny,0.05
8,3,Verstappen (Red Bull),28.81042,85.9554,Sunny,0.05
8,4,Verstappen (Red Bull),28.5444,114.49981,Sunny,0.05
8,5,Verstappen (Red Bull),28.23454,142.73435,Sunny,0.05
8,1,Norris (McLaren),28.91562,28.91562,Sunny,0.05
8,2,Norris (McLaren),29.7865,58.70212,Sunny,0.05
8,3,Norris (McLaren),29.19628,87.89839,Sunny,0.05
8,4,Norris (McLaren),27.64079,115.53919,Sunny,0.05
8,5,Norris (McLaren),27.61881,143.15799,Sunny,0.05
9,1,Hamilton (Mercedes),29.26156,29.26156,Sunny,0.05
9,2,Hamilton (Mercedes),28.70879,57.97034,Sunny,0.05
9,3,Hamilton (Mercedes),28.93758,86.90792,Sunny,0.05
9,4,Hamilton (Mercedes),28.72862,115.63655,Sunny,0.05
9,5,Hamilton (Mercedes),27.46584,143.10239,Sunny,0.05
9,1,Verstappen (Red Bull),28.30042,28.30042,Sunny,0.05
9,2,Verstappen (Red Bull),28.48927,56.7897,Sunny,0.05
9,3,Verstappen (Red Bull),28.33515,85.12485,Sunny,0.05
9,4,Verstappen (Red Bull),28.35925,113.4841,Sunny,0.05
9,5,Verstappen (Red Bull),28.30371,141.78781,Sunny,0.05
9,1,Norris (McLaren),28.27599,28.27599,Sunny,0.05
9,2,Norris (McLaren),27.96738,56.24337,Sunny,0.05
9,3,Norris (McLaren),27.67953,83.9229,Sunny,0.05
9,4,Norris (McLaren),29.69341,113.61632,Sunny,0.05
9,5,Norris (McLaren),29.19586,142.81218,Sunny,0.05
10,1,Hamilton (Mercedes),27.69634,27.69634,Sunny,0.05
10,2,Hamilton (Mercedes),27.6566,55.35294,Sunny,0.05
10,3,Hamilton (Mercedes),28.15545,83.50839,Sunny,0.05
10,4,Hamilton (Mercedes),29.23272,112.74111,Sunny,0.05
10,5,Hamilton (Mercedes),29.57274,142.31385,Sunny,0.05
10,1,Verstappen (Red Bull),28.55078,28.55078,Sunny,0.05
10,2,Verstappen (Red Bull),28.84913,57.39992,Sunny,0.05
10,3,Verstappen (Red Bull),28.39676,85.79668,Sunny,0.05
10,4,Verstappen (Red Bull),28.34049,114.13716,Sunny,0.05
10,5,Verstappen (Red Bull),28.22288,142.36005,Sunny,0.05
10,1,Norris (McLaren),28.93422,28.93422,Sunny,0.05
10,2,Norris (McLaren),28.7188,57.65302,Sunny,0.05
10,3,Norris (McLaren),29.56014,87.21316,Sunny,0.05
10,4,Norris (McLaren),28.46679,115.67995,Sunny,0.05
10,5,Norris (McLaren),27.70809,143.38804,Sunny,0.05
11,1,Hamilton (Mercedes),28.62969,28.62969,Sunny,0.05
11,2,Hamilton (Mercedes),28.01705,56.64674,Sunny,0.05
11,3,Hamilton (Mercedes),28.31397,84.9607,Sunny,0.05
11,4,Hamilton (Mercedes),28.08385,113.04456,Sunny,0.05
11,5,Hamilton (Mercedes),28.47488,141.51944,Sunny,0.05
11,1,Verstappen (Red Bull),28.06329,28.06329,Sunny,0.05
11,2,Verstappen (Red Bull),28.47893,56.54223,Sunny,0.05
11,3,Verstappen (Red Bull),28.9329,85.47513,Sunny,0.05
11,4,Verstappen (Red Bull),26.98702,112.46215,Sunny,0.05
11,5,Verstappen (Red Bull),28.36443,140.82658,Sunny,0.05
11,1,Norris (McLaren),28.12056,28.12056,Sunny,0.05
11,2,Norris (McLaren),28.53229,56.65285,Sunny,0.05
11,3,Norris (McLaren),29.13367,85.78651,Sunny,0.05
11,4,Norris (McLaren),29.15414,114.94065,Sunny,0.05
11,5,Norris (McLaren),28.2776,143.21825,Sunny,0.05
