trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),57.1749,57.1749,Sunny,0.05
1,2,Hamilton (Mercedes),57.86517,115.04008,Sunny,0.05
1,3,Hamilton (Mercedes),58.3896,173.42968,Sunny,0.05
1,4,Hamilton (Mercedes),57.96999,231.39967,Sunny,0.05
1,5,Hamilton (Mercedes),58.09417,289.49383,Sunny,0.05
1,1,Verstappen (Red Bull),57.58715,57.58715,Sunny,0.05
1,2,Verstappen (Red Bull),58.37405,115.9612,Sunny,0.05
1,3,Verstappen (Red Bull),57.83674,173.79794,Sunny,0.05
1,4,Verstappen (Red Bull),57.9226,231.72054,Sunny,0.05
1,5,Verstappen (Red Bull),57.10681,288.82735,Sunny,0.05
1,1,Norris (McLaren),59.01749,59.01749,Sunny,0.05
1,2,Norris (McLaren),59.78015,118.79764,Sunny,0.05
1,3,Norris (McLaren),58.98616,177.7838,Sunny,0.05
1,4,Norris (McLaren),58.29751,236.08131,Sunny,0.05
1,5,Norris (McLaren),57.63557,293.71688,Sunny,0.05
2,1,Hamilton (Mercedes),58.50246,58.50246,Sunny,0.05
2,2,Hamilton (Mercedes),58.4862,116.98866,Sunny,0.05
2,3,Hamilton (Mercedes),58.09778,175.08644,Sunny,0.05
2,4,Hamilton (Mercedes),56.92953,232.01597,Sunny,0.05
2,5,Hamilton (Mercedes),57.78978,289.80575,Sunny,0.05
2,1,Verstappen (Red Bull),57.13336,57.13336,Sunny,0.05
2,2,Verstappen (Red Bull),57.25792,114.39127,Sunny,0.05
2,3,Verstappen (Red Bull),57.92017,172.31144,Sunny,0.05
2,4,Verstappen (Red Bull),57.16423,229.47567,Sunny,0.05
2,5,Verstappen (Red Bull),57.63303,287.10871,Sunny,0.05
2,1,Norris (McLaren),59.43877,59.43877,Sunny,0.05
2,2,Norris (McLaren),57.94077,117.37954,Sunny,0.05
2,3,Norris (McLaren),58.44612,175.82566,Sunny,0.05
2,4,Norris (McLaren),58.95046,234.77611,Sunny,0.05
2,5,Norris (McLaren),58.04253,292.81865,Sunny,0.05
3,1,Hamilton (Mercedes),57.35608,57.35608,Sunny,0.05
3,2,Hamilton (Mercedes),58.3518,115.70788,Sunny,0.05
3,3,Hamilton (Mercedes),58.69805,174.40593,Sunny,0.05
