trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,106.841,0.0,19.125,4.89393,
1,1,Hamilton (Mercedes),1,CORNER,72.598,19.125,19.125,3.91599,0.9146
1,1,Hamilton (Mercedes),2,STRAIGHT,121.427,19.125,28.917,3.1858,
1,1,Hamilton (Mercedes),3,CORNER,97.433,28.917,28.917,3.4894,0.9146
1,1,Hamilton (Mercedes),4,STRAIGHT,101.721,28.917,22.956,1.79923,
1,1,Hamilton (Mercedes),5,CORNER,56.174,22.956,22.956,2.567,0.9146
1,1,Hamilton (Mercedes),6,STRAIGHT,102.434,22.956,20.39,2.13128,
1,1,Hamilton (Mercedes),7,CORNER,64.948,20.39,20.39,3.30534,0.9146
1,1,Hamilton (Mercedes),8,STRAIGHT,128.928,20.39,28.821,3.16867,
1,1,Hamilton (Mercedes),9,CORNER,101.079,28.821,28.821,3.62716,0.9146
1,1,Hamilton (Mercedes),10,STRAIGHT,205.124,28.821,21.57,3.57959,
1,1,Hamilton (Mercedes),11,CORNER,45.132,21.57,21.57,2.21233,0.9146
1,2,Hamilton (Mercedes),0,STRAIGHT,106.841,0.0,19.125,4.89393,
1,2,Hamilton (Mercedes),1,CORNER,72.598,19.125,19.125,3.91599,0.9146
1,2,Hamilton (Mercedes),2,STRAIGHT,121.427,19.125,28.917,3.1858,
1,2,Hamilton (Mercedes),3,CORNER,97.433,28.917,28.917,3.4894,0.9146
1,2,Hamilton (Mercedes),4,STRAIGHT,101.721,28.917,22.956,1.79923,
1,2,Hamilton (Mercedes),5,CORNER,56.174,22.956,22.956,2.567,0.9146
1,2,Hamilton (Mercedes),6,STRAIGHT,102.434,22.956,20.39,2.13128,
1,2,Hamilton (Mercedes),7,CORNER,64.948,20.39,20.39,3.30534,0.9146
1,2,Hamilton (Mercedes),8,STRAIGHT,128.928,20.39,28.821,3.16867,
1,2,Hamilton (Mercedes),9,CORNER,101.079,28.821,28.821,3.62716,0.9146
1,2,Hamilton (Mercedes),10,STRAIGHT,205.124,28.821,21.57,3.57959,
1,2,Hamilton (Mercedes),11,CORNER,45.132,21.57,21.57,2.21233,0.9146
1,3,Hamilton (Mercedes),0,STRAIGHT,106.841,0.0,19.125,4.89393,
1,3,Hamilton (Mercedes),1,CORNER,72.598,19.125,19.125,3.91599,0.9146
1,3,Hamilton (Mercedes),2,STRAIGHT,121.427,19.125,28.917,3.1858,
1,3,Hamilton (Mercedes),3,CORNER,97.433,28.917,28.917,3.4894,0.9146
1,3,Hamilton (Mercedes),4,STRAIGHT,101.721,28.917,22.956,1.79923,
1,3,Hamilton (Mercedes),5,CORNER,56.174,22.956,22.956,2.567,0.9146
