trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),43.32178,43.32178,Sunny,0.05
1,1,Verstappen (Red Bull),43.25752,43.25752,Sunny,0.05
1,1,Norris (McLaren),42.07091,42.07091,Sunny,0.05
2,1,Hamilton (Mercedes),42.15364,42.15364,Sunny,0.05
2,1,Verstappen (Red Bull),43.12071,43.12071,Sunny,0.05
2,1,Norris (McLaren),44.9536,44.9536,Sunny,0.05
3,1,Hamilton (Mercedes),42.05227,42.05227,Sunny,0.05
3,1,Verstappen (Red Bull),42.37463,42.37463,Sunny,0.05
3,1,Norris (McLaren),43.4673,43.4673,Sunny,0.05
4,1,Hamilton (Mercedes),42.84735,42.84735,Sunny,0.05
4,1,Verstappen (Red Bull),42.61211,42.61211,Sunny,0.05
4,1,Norris (McLaren),43.01813,43.01813,Sunny,0.05
5,1,Hamilton (Mercedes),43.67284,43.67284,Sunny,0.05
5,1,Verstappen (Red Bull),42.80208,42.80208,Sunny,0.05
5,1,Norris (McLaren),43.42981,43.42981,Sunny,0.05
6,1,Hamilton (Mercedes),42.45087,42.45087,Sunny,0.05
6,1,Verstappen (Red Bull),43.15814,43.15814,Sunny,0.05
6,1,Norris (McLaren),44.52409,44.52409,Sunny,0.05
7,1,Hamilton (Mercedes),43.47345,43.47345,Sunny,0.05
7,1,Verstappen (Red Bull),42.5715,42.5715,Sunny,0.05
7,1,Norris (McLaren),42.3795,42.3795,Sunny,0.05
8,1,Hamilton (Mercedes),43.37982,43.37982,Sunny,0.05
8,1,Verstappen (Red Bull),43.01866,43.01866,Sunny,0.05
8,1,Norris (McLaren),43.09589,43.09589,Sunny,0.05
9,1,Hamilton (Mercedes),41.8069,41.8069,Sunny,0.05
9,1,Verstappen (Red Bull),42.29644,42.29644,Sunny,0.05
9,1,Norris (McLaren),42.4612,42.4612,Sunny,0.05
10,1,Hamilton (Mercedes),42.59657,42.59657,Sunny,0.05
10,1,Verstappen (Red Bull),42.88551,42.88551,Sunny,0.05
10,1,Norris (McLaren),42.49909,42.49909,Sunny,0.05
11,1,Hamilton (Mercedes),42.95829,42.95829,Sunny,0.05
11,1,Verstappen (Red Bull),43.50141,43.50141,Sunny,0.05
11,1,Norris (McLaren),42.6847,42.6847,Sunny,0.05
12,1,Hamilton (Mercedes),43.04913,43.04913,Sunny,0.05
12,1,Verstappen (Red Bull),43.10352,43.10352,Sunny,0.05
12,1,Norris (McLaren),42.78646,42.78646,Sunny,0.05
13,1,Hamilton (Mercedes),42.23344,42.23344,Sunny,0.05
13,1,Verstappen (Red Bull),42.87928,42.87928,Sunny,0.05
13,1,Norris (McLaren),43.85986,43.85986,Sunny,0.05
14,1,Hamilton (Mercedes),42.09839,42.09839,Sunny,0.05
14,1,Verstappen (Red Bull),42.53642,42.53642,Sunny,0.05
14,1,Norris (McLaren),42.87644,42.87644,Sunny,0.05
15,1,Hamilton (Mercedes),43.80979,43.80979,Sunny,0.05
15,1,Verstappen (Red Bull),41.7859,41.7859,Sunny,0.05
15,1,Norris (McLaren),43.04449,43.04449,Sunny,0.05
16,1,Hamilton (Mercedes),42.24366,42.24366,Sunny,0.05
16,1,Verstappen (Red Bull),42.1367,42.1367,Sunny,0.05
16,1,Norris (McLaren),43.23241,43.23241,Sunny,0.05
17,1,Hamilton (Mercedes),42.87324,42.87324,Sunny,0.05
17,1,Verstappen (Red Bull),42.62667,42.62667,Sunny,0.05
17,1,Norris (McLaren),42.69228,42.69228,Sunny,0.05
18,1,Hamilton (Mercedes),42.18387,42.18387,Sunny,0.05
18,1,Verstappen (Red Bull),43.25734,43.25734,Sunny,0.05
18,1,Norris (McLaren),44.28179,44.28179,Sunny,0.05
19,1,Hamilton (Mercedes),43.06169,43.06169,Sunny,0.05
19,1,Verstappen (Red Bull),42.51078,42.51078,Sunny,0.05
19,1,Norris (McLaren),44.17117,44.17117,Sunny,0.05
20,1,Hamilton (Mercedes),43.36145,43.36145,Sunny,0.05
20,1,Verstappen (Red Bull),42.87449,42.87449,Sunny,0.05
20,1,Norris (McLaren),43.87638,43.87638,Sunny,0.05
21,1,Hamilton (Mercedes),42.57309,42.57309,Sunny,0.05
21,1,Verstappen (Red Bull),42.22631,42.22631,Sunny,0.05
21,1,Norris (McLaren),43.29323,43.29323,Sunny,0.05
22,1,Hamilton (Mercedes),42.44139,42.44139,Sunny,0.05
22,1,Verstappen (Red Bull),42.73801,42.73801,Sunny,0.05
22,1,Norris (McLaren),43.3938,43.3938,Sunny,0.05
23,1,Hamilton (Mercedes),43.4001,43.4001,Sunny,0.05
23,1,Verstappen (Red Bull),43.02113,43.02113,Sunny,0.05
23,1,Norris (McLaren),42.22581,42.22581,Sunny,0.05
24,1,Hamilton (Mercedes),43.00042,43.00042,Sunny,0.05
24,1,Verstappen (Red Bull),42.92252,42.92252,Sunny,0.05
24,1,Norris (McLaren),43.95571,43.95571,Sunny,0.05
25,1,Hamilton (Mercedes),43.635,43.635,Sunny,0.05
25,1,Verstappen (Red Bull),42.56368,42.56368,Sunny,0.05
25,1,Norris (McLaren),43.08332,43.08332,Sunny,0.05
26,1,Hamilton (Mercedes),42.41174,42.41174,Sunny,0.05
26,1,Verstappen (Red Bull),42.44264,42.44264,Sunny,0.05
26,1,Norris (McLaren),42.6457,42.6457,Sunny,0.05
27,1,Hamilton (Mercedes),42.33658,42.33658,Sunny,0.05
27,1,Verstappen (Red Bull),42.54106,42.54106,Sunny,0.05
27,1,Norris (McLaren),43.94705,43.94705,Sunny,0.05
28,1,Hamilton (Mercedes),43.94923,43.94923,Sunny,0.05
28,1,Verstappen (Red Bull),42.9027,42.9027,Sunny,0.05
28,1,Norris (McLaren),43.14843,43.14843,Sunny,0.05
29,1,Hamilton (Mercedes),43.26542,43.26542,Sunny,0.05
29,1,Verstappen (Red Bull),43.18041,43.18041,Sunny,0.05
29,1,Norris (McLaren),43.61074,43.61074,Sunny,0.05
30,1,Hamilton (Mercedes),43.30002,43.30002,Sunny,0.05
