trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),39.06522,39.06522,Sunny,0.05
1,1,Verstappen (Red Bull),39.09645,39.09645,Sunny,0.05
1,1,Norris (McLaren),39.21573,39.21573,Sunny,0.05
2,1,Hamilton (Mercedes),39.21913,39.21913,Sunny,0.05
2,1,Verstappen (Red Bull),37.95201,37.95201,Sunny,0.05
2,1,Norris (McLaren),39.03326,39.03326,Sunny,0.05
3,1,Hamilton (Mercedes),39.75915,39.75915,Sunny,0.05
3,1,Verstappen (Red Bull),38.46407,38.46407,Sunny,0.05
3,1,Norris (McLaren),38.75492,38.75492,Sunny,0.05
4,1,Hamilton (Mercedes),39.50229,39.50229,Sunny,0.05
4,1,Verstappen (Red Bull),38.11003,38.11003,Sunny,0.05
4,1,Norris (McLaren),38.71155,38.71155,Sunny,0.05
5,1,Hamilton (Mercedes),39.79477,39.79477,Sunny,0.05
5,1,Verstappen (Red Bull),39.92776,39.92776,Sunny,0.05
5,1,Norris (McLaren),39.92608,39.92608,Sunny,0.05
6,1,Hamilton (Mercedes),38.8812,38.8812,Sunny,0.05
6,1,Verstappen (Red Bull),38.70023,38.70023,Sunny,0.05
6,1,Norris (McLaren),38.81089,38.81089,Sunny,0.05
7,1,Hamilton (Mercedes),38.93379,38.93379,Sunny,0.05
7,1,Verstappen (Red Bull),37.93655,37.93655,Sunny,0.05
7,1,Norris (McLaren),39.21166,39.21166,Sunny,0.05
8,1,Hamilton (Mercedes),39.71201,39.71201,Sunny,0.05
8,1,Verstappen (Red Bull),38.24672,38.24672,Sunny,0.05
8,1,Norris (McLaren),39.02859,39.02859,Sunny,0.05
9,1,Hamilton (Mercedes),38.89849,38.89849,Sunny,0.05
9,1,Verstappen (Red Bull),38.41784,38.41784,Sunny,0.05
9,1,Norris (McLaren),39.9229,39.9229,Sunny,0.05
10,1,Hamilton (Mercedes),39.86395,39.86395,Sunny,0.05
10,1,Verstappen (Red Bull),38.74424,38.74424,Sunny,0.05
