trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,124.932,0.0,20.474,5.35198,
1,1,Hamilton (Mercedes),1,CORNER,70.617,20.474,20.474,3.46411,1.0596
1,1,Hamilton (Mercedes),2,STRAIGHT,225.19,20.474,27.743,4.64193,
1,1,Hamilton (Mercedes),3,CORNER,84.05,27.743,27.743,3.04462,1.0596
1,1,Hamilton (Mercedes),4,STRAIGHT,100.805,27.743,31.229,2.19203,
1,1,Hamilton (Mercedes),5,CORNER,73.656,31.229,31.229,2.37361,1.0596
1,1,Hamilton (Mercedes),6,STRAIGHT,123.736,31.229,21.402,2.1557,
1,1,Hamilton (Mercedes),7,CORNER,53.324,21.402,21.402,2.5065,1.0596
1,1,Hamilton (Mercedes),8,STRAIGHT,224.384,21.402,22.265,4.48643,
1,1,Hamilton (Mercedes),9,CORNER,77.07,22.265,22.265,3.47655,1.0596
1,1,Hamilton (Mercedes),10,STRAIGHT,191.984,22.265,22.913,3.90428,
1,1,Hamilton (Mercedes),11,CORNER,60.201,22.913,22.913,2.6424,1.0596
1,1,Verstappen (Red Bull),0,STRAIGHT,124.932,0.0,20.174,5.22918,
1,1,Verstappen (Red Bull),1,CORNER,70.617,20.174,20.174,3.5154,1.0295
1,1,Verstappen (Red Bull),2,STRAIGHT,225.19,20.174,27.328,4.52584,
1,1,Verstappen (Red Bull),3,CORNER,84.05,27.328,27.328,3.09061,1.0295
1,1,Verstappen (Red Bull),4,STRAIGHT,100.805,27.328,30.756,2.15216,
1,1,Verstappen (Red Bull),5,CORNER,73.656,30.756,30.756,2.40982,1.0295
1,1,Verstappen (Red Bull),6,STRAIGHT,123.736,30.756,21.088,2.07798,
1,1,Verstappen (Red Bull),7,CORNER,53.324,21.088,21.088,2.54364,1.0295
1,1,Verstappen (Red Bull),8,STRAIGHT,224.384,21.088,21.937,4.35538,
1,1,Verstappen (Red Bull),9,CORNER,77.07,21.937,21.937,3.52826,1.0295
1,1,Verstappen (Red Bull),10,STRAIGHT,191.984,21.937,22.575,3.79114,
1,1,Verstappen (Red Bull),11,CORNER,60.201,22.575,22.575,2.68172,1.0295
1,1,Norris (McLaren),0,STRAIGHT,124.932,0.0,19.831,5.207,
1,1,Norris (McLaren),1,CORNER,70.617,19.831,19.831,3.57593,0.9998
1,1,Norris (McLaren),2,STRAIGHT,225.19,19.831,26.809,4.51075,
1,1,Norris (McLaren),3,CORNER,84.05,26.809,26.809,3.1502,0.9998
1,1,Norris (McLaren),4,STRAIGHT,100.805,26.809,30.136,2.14189,
1,1,Norris (McLaren),5,CORNER,73.656,30.136,30.136,2.45912,0.9998
1,1,Norris (McLaren),6,STRAIGHT,123.736,30.136,20.725,2.06594,
1,1,Norris (McLaren),7,CORNER,53.324,20.725,20.725,2.58795,0.9998
1,1,Norris (McLaren),8,STRAIGHT,224.384,20.725,21.554,4.34512,
1,1,Norris (McLaren),9,CORNER,77.07,21.554,21.554,3.59061,0.9998
1,1,Norris (McLaren),10,STRAIGHT,191.984,21.554,22.177,3.78226,
1,1,Norris (McLaren),11,CORNER,60.201,22.177,22.177,2.72951,0.9998
2,1,Hamilton (Mercedes),0,STRAIGHT,124.932,0.0,20.474,5.35198,
2,1,Hamilton (Mercedes),1,CORNER,70.617,20.474,20.474,3.46411,1.0596
2,1,Hamilton (Mercedes),2,STRAIGHT,225.19,20.474,27.743,4.64193,
2,1,Hamilton (Mercedes),3,CORNER,84.05,27.743,27.743,3.04462,1.0596
2,1,Hamilton (Mercedes),4,STRAIGHT,100.805,27.743,31.229,2.19203,
2,1,Hamilton (Mercedes),5,CORNER,73.656,31.229,31.229,2.37361,1.0596
2,1,Hamilton (Mercedes),6,STRAIGHT,123.736,31.229,21.402,2.1557,
2,1,Hamilton (Mercedes),7,CORNER,53.324,21.402,21.402,2.5065,1.0596
2,1,Hamilton (Mercedes),8,STRAIGHT,224.384,21.402,22.265,4.48643,
2,1,Hamilton (Mercedes),9,CORNER,77.07,22.265,22.265,3.47655,1.0596
2,1,Hamilton (Mercedes),10,STRAIGHT,191.984,22.265,22.913,3.90428,
2,1,Hamilton (Mercedes),11,CORNER,60.201,22.913,22.913,2.6424,1.0596
2,1,Verstappen (Red Bull),0,STRAIGHT,124.932,0.0,20.174,5.22918,
