trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,120.423,0.0,23.492,5.40261,
1,1,Hamilton (Mercedes),1,CORNER,54.117,23.492,23.492,2.31868,1.0596
1,1,Hamilton (Mercedes),2,STRAIGHT,100.776,23.492,19.09,2.10923,
1,1,Hamilton (Mercedes),3,CORNER,50.636,19.09,19.09,2.66752,1.0596
1,1,Hamilton (Mercedes),4,STRAIGHT,62.906,19.09,15.61,1.53159,
1,1,Hamilton (Mercedes),5,CORNER,31.016,15.61,15.61,2.00195,1.0596
1,1,Hamilton (Mercedes),6,STRAIGHT,144.681,15.61,19.387,3.62007,
1,1,Hamilton (Mercedes),7,CORNER,79.578,19.387,19.387,4.11971,1.0596
1,1,Hamilton (Mercedes),8,STRAIGHT,91.017,19.387,15.111,2.16465,
1,1,Hamilton (Mercedes),9,CORNER,32.067,15.111,15.111,2.13705,1.0596
1,1,Hamilton (Mercedes),10,STRAIGHT,147.723,15.111,13.334,3.74079,
1,1,Hamilton (Mercedes),11,CORNER,21.716,13.334,13.334,1.64358,1.0596
1,1,Hamilton (Mercedes),12,STRAIGHT,110.739,13.334,21.434,3.2758,
1,1,Hamilton (Mercedes),13,CORNER,49.007,21.434,21.434,2.30135,1.0596
1,1,Hamilton (Mercedes),14,STRAIGHT,60.237,21.434,19.116,1.3778,
1,1,Hamilton (Mercedes),15,CORNER,71.664,19.116,19.116,3.76385,1.0596
1,2,Hamilton (Mercedes),0,STRAIGHT,120.423,0.0,23.492,5.40261,
1,2,Hamilton (Mercedes),1,CORNER,54.117,23.492,23.492,2.31868,1.0596
1,2,Hamilton (Mercedes),2,STRAIGHT,100.776,23.492,19.09,2.10923,
1,2,Hamilton (Mercedes),3,CORNER,50.636,19.09,19.09,2.66752,1.0596
1,2,Hamilton (Mercedes),4,STRAIGHT,62.906,19.09,15.61,1.53159,
1,2,Hamilton (Mercedes),5,CORNER,31.016,15.61,15.61,2.00195,1.0596
1,2,Hamilton (Mercedes),6,STRAIGHT,144.681,15.61,19.387,3.62007,
1,2,Hamilton (Mercedes),7,CORNER,79.578,19.387,19.387,4.11971,1.0596
1,2,Hamilton (Mercedes),8,STRAIGHT,91.017,19.387,15.111,2.16465,
1,2,Hamilton (Mercedes),9,CORNER,32.067,15.111,15.111,2.13705,1.0596
1,2,Hamilton (Mercedes),10,STRAIGHT,147.723,15.111,13.334,3.74079,
1,2,Hamilton (Mercedes),11,CORNER,21.716,13.334,13.334,1.64358,1.0596
1,2,Hamilton (Mercedes),12,STRAIGHT,110.739,13.334,21.434,3.2758,
1,2,Hamilton (Mercedes),13,CORNER,49.007,21.434,21.434,2.30135,1.0596
1,2,Hamilton (Mercedes),14,STRAIGHT,60.237,21.434,19.116,1.3778,
1,2,Hamilton (Mercedes),15,CORNER,71.664,19.116,19.116,3.76385,1.0596
1,3,Hamilton (Mercedes),0,STRAIGHT,120.423,0.0,23.492,5.40261,
1,3,Hamilton (Mercedes),1,CORNER,54.117,23.492,23.492,2.31868,1.0596
1,3,Hamilton (Mercedes),2,STRAIGHT,100.776,23.492,19.09,2.10923,
1,3,Hamilton (Mercedes),3,CORNER,50.636,19.09,19.09,2.66752,1.0596
1,3,Hamilton (Mercedes),4,STRAIGHT,62.906,19.09,15.61,1.53159,
1,3,Hamilton (Mercedes),5,CORNER,31.016,15.61,15.61,2.00195,1.0596
1,3,Hamilton (Mercedes),6,STRAIGHT,144.681,15.61,19.387,3.62007,
1,3,Hamilton (Mercedes),7,CORNER,79.578,19.387,19.387,4.11971,1.0596
1,3,Hamilton (Mercedes),8,STRAIGHT,91.017,19.387,15.111,2.16465,
1,3,Hamilton (Mercedes),9,CORNER,32.067,15.111,15.111,2.13705,1.0596
1,3,Hamilton (Mercedes),10,STRAIGHT,147.723,15.111,13.334,3.74079,
1,3,Hamilton (Mercedes),11,CORNER,21.716,13.334,13.334,1.64358,1.0596
1,3,Hamilton (Mercedes),12,STRAIGHT,110.739,13.334,21.434,3.2758,
1,3,Hamilton (Mercedes),13,CORNER,49.007,21.434,21.434,2.30135,1.0596
1,3,Hamilton (Mercedes),14,STRAIGHT,60.237,21.434,19.116,1.3778,
1,3,Hamilton (Mercedes),15,CORNER,71.664,19.116,19.116,3.76385,1.0596
1,4,Hamilton (Mercedes),0,STRAIGHT,120.423,0.0,23.492,5.40261,
1,4,Hamilton (Mercedes),1,CORNER,54.117,23.492,23.492,2.31868,1.0596
1,4,Hamilton (Mercedes),2,STRAIGHT,100.776,23.492,19.09,2.10923,
1,4,Hamilton (Mercedes),3,CORNER,50.636,19.09,19.09,2.66752,1.0596
1,4,Hamilton (Mercedes),4,STRAIGHT,62.906,19.09,15.61,1.53159,
1,4,Hamilton (Mercedes),5,CORNER,31.016,15.61,15.61,2.00195,1.0596
1,4,Hamilton (Mercedes),6,STRAIGHT,144.681,15.61,19.387,3.62007,
1,4,Hamilton (Mercedes),7,CORNER,79.578,19.387,19.387,4.11971,1.0596
1,4,Hamilton (Mercedes),8,STRAIGHT,91.017,19.387,15.111,2.16465,
1,4,Hamilton (Mercedes),9,CORNER,32.067,15.111,15.111,2.13705,1.0596
1,4,Hamilton (Mercedes),10,STRAIGHT,147.723,15.111,13.334,3.74079,
1,4,Hamilton (Mercedes),11,CORNER,21.716,13.334,13.334,1.64358,1.0596
1,4,Hamilton (Mercedes),12,STRAIGHT,110.739,13.334,21.434,3.2758,
1,4,Hamilton (Mercedes),13,CORNER,49.007,21.434,21.434,2.30135,1.0596
1,4,Hamilton (Mercedes),14,STRAIGHT,60.237,21.434,19.116,1.3778,
1,4,Hamilton (Mercedes),15,CORNER,71.664,19.116,19.116,3.76385,1.0596
1,5,Hamilton (Mercedes),0,STRAIGHT,120.423,0.0,23.492,5.40261,
1,5,Hamilton (Mercedes),1,CORNER,54.117,23.492,23.492,2.31868,1.0596
1,5,Hamilton (Mercedes),2,STRAIGHT,100.776,23.492,19.09,2.10923,
1,5,Hamilton (Mercedes),3,CORNER,50.636,19.09,19.09,2.66752,1.0596
1,5,Hamilton (Mercedes),4,STRAIGHT,62.906,19.09,15.61,1.53159,
1,5,Hamilton (Mercedes),5,CORNER,31.016,15.61,15.61,2.00195,1.0596
1,5,Hamilton (Mercedes),6,STRAIGHT,144.681,15.61,19.387,3.62007,
1,5,Hamilton (Mercedes),7,CORNER,79.578,19.387,19.387,4.11971,1.0596
1,5,Hamilton (Mercedes),8,STRAIGHT,91.017,19.387,15.111,2.16465,
1,5,Hamilton (Mercedes),9,CORNER,32.067,15.111,15.111,2.13705,1.0596
1,5,Hamilton (Mercedes),10,STRAIGHT,147.723,15.111,13.334,3.74079,
1,5,Hamilton (Mercedes),11,CORNER,21.716,13.334,13.334,1.64358,1.0596
1,5,Hamilton (Mercedes),12,STRAIGHT,110.739,13.334,21.434,3.2758,
1,5,Hamilton (Mercedes),13,CORNER,49.007,21.434,21.434,2.30135,1.0596
1,5,Hamilton (Mercedes),14,STRAIGHT,60.237,21.434,19.116,1.3778,
1,5,Hamilton (Mercedes),15,CORNER,71.664,19.116,19.116,3.76385,1.0596
1,1,Verstappen (Red Bull),0,STRAIGHT,120.423,0.0,23.145,5.29641,
1,1,Verstappen (Red Bull),1,CORNER,54.117,23.145,23.145,2.35321,1.0295
1,1,Verstappen (Red Bull),2,STRAIGHT,100.776,23.145,18.811,2.02761,
1,1,Verstappen (Red Bull),3,CORNER,50.636,18.811,18.811,2.70684,1.0295
1,1,Verstappen (Red Bull),4,STRAIGHT,62.906,18.811,15.383,1.46025,
1,1,Verstappen (Red Bull),5,CORNER,31.016,15.383,15.383,2.03119,1.0295
1,1,Verstappen (Red Bull),6,STRAIGHT,144.681,15.383,19.104,3.50659,
1,1,Verstappen (Red Bull),7,CORNER,79.578,19.104,19.104,4.18059,1.0295
1,1,Verstappen (Red Bull),8,STRAIGHT,91.017,19.104,14.892,2.07311,
