trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),43.19164,43.19164,Sunny,0.05
1,2,Hamilton (Mercedes),43.8167,87.00834,Sunny,0.05
1,3,Hamilton (Mercedes),43.70092,130.70926,Sunny,0.05
1,4,Hamilton (Mercedes),43.37258,174.08184,Sunny,0.05
1,5,Hamilton (Mercedes),42.37622,216.45806,Sunny,0.05
1,1,Verstappen (Red Bull),42.60333,42.60333,Sunny,0.05
1,2,Verstappen (Red Bull),41.83012,84.43346,Sunny,0.05
1,3,Verstappen (Red Bull),43.10368,127.53714,Sunny,0.05
1,4,Verstappen (Red Bull),42.45864,169.99578,Sunny,0.05
1,5,Verstappen (Red Bull),42.31774,212.31352,Sunny,0.05
1,1,Norris (McLaren),44.21179,44.21179,Sunny,0.05
1,2,Norris (McLaren),43.3144,87.52619,Sunny,0.05
1,3,Norris (McLaren),42.38227,129.90846,Sunny,0.05
1,4,Norris (McLaren),43.42201,173.33047,Sunny,0.05
1,5,Norris (McLaren),43.77278,217.10325,Sunny,0.05
2,1,Hamilton (Mercedes),42.64484,42.64484,Sunny,0.05
2,2,Hamilton (Mercedes),42.83439,85.47924,Sunny,0.05
2,3,Hamilton (Mercedes),43.23923,128.71847,Sunny,0.05
2,4,Hamilton (Mercedes),42.45119,171.16966,Sunny,0.05
2,5,Hamilton (Mercedes),43.02456,214.19421,Sunny,0.05
2,1,Verstappen (Red Bull),42.04492,42.04492,Sunny,0.05
2,2,Verstappen (Red Bull),43.20588,85.2508,Sunny,0.05
2,3,Verstappen (Red Bull),42.0362,127.28699,Sunny,0.05
2,4,Verstappen (Red Bull),42.98258,170.26958,Sunny,0.05
2,5,Verstappen (Red Bull),43.24501,213.51459,Sunny,0.05
2,1,Norris (McLaren),43.19229,43.19229,Sunny,0.05
2,2,Norris (McLaren),42.54054,85.73283,Sunny,0.05
2,3,Norris (McLaren),43.24316,128.976,Sunny,0.05
2,4,Norris (McLaren),43.29413,172.27013,Sunny,0.05
2,5,Norris (McLaren),42.3508,214.62093,Sunny,0.05
3,1,Hamilton (Mercedes),43.52671,43.52671,Sunny,0.05
3,2,Hamilton (Mercedes),42.83353,86.36024,Sunny,0.05
3,3,Hamilton (Mercedes),41.9902,128.35044,Sunny,0.05
3,4,Hamilton (Mercedes),43.04627,171.39671,Sunny,0.05
3,5,Hamilton (Mercedes),44.47028,215.86699,Sunny,0.05
3,1,Verstappen (Red Bull),43.04609,43.04609,Sunny,0.05
3,2,Verstappen (Red Bull),42.03338,85.07947,Sunny,0.05
3,3,Verstappen (Red Bull),42.92625,128.00572,Sunny,0.05
3,4,Verstappen (Red Bull),43.22273,171.22845,Sunny,0.05
3,5,Verstappen (Red Bull),42.5483,213.77675,Sunny,0.05
3,1,Norris (McLaren),43.40449,43.40449,Sunny,0.05
3,2,Norris (McLaren),42.91603,86.32052,Sunny,0.05
3,3,Norris (McLaren),42.74534,129.06586,Sunny,0.05
3,4,Norris (McLaren),43.32465,172.39051,Sunny,0.05
3,5,Norris (McLaren),42.80275,215.19326,Sunny,0.05
4,1,Hamilton (Mercedes),43.12052,43.12052,Sunny,0.05
4,2,Hamilton (Mercedes),43.80593,86.92645,Sunny,0.05
4,3,Hamilton (Mercedes),43.73803,130.66447,Sunny,0.05
4,4,Hamilton (Mercedes),42.99041,173.65488,Sunny,0.05
4,5,Hamilton (Mercedes),43.59555,217.25043,Sunny,0.05
4,1,Verstappen (Red Bull),42.76515,42.76515,Sunny,0.05
4,2,Verstappen (Red Bull),43.26405,86.0292,Sunny,0.05
4,3,Verstappen (Red Bull),43.17655,129.20576,Sunny,0.05
4,4,Verstappen (Red Bull),42.75662,171.96237,Sunny,0.05
4,5,Verstappen (Red Bull),42.72938,214.69175,Sunny,0.05
4,1,Norris (McLaren),43.0641,43.0641,Sunny,0.05
4,2,Norris (McLaren),42.72969,85.79379,Sunny,0.05
4,3,Norris (McLaren),43.19944,128.99323,Sunny,0.05
4,4,Norris (McLaren),42.62627,171.6195,Sunny,0.05
4,5,Norris (McLaren),43.49183,215.11133,Sunny,0.05
5,1,Hamilton (Mercedes),43.12768,43.12768,Sunny,0.05
5,2,Hamilton (Mercedes),43.08058,86.20826,Sunny,0.05
5,3,Hamilton (Mercedes),43.76019,129.96845,Sunny,0.05
5,4,Hamilton (Mercedes),43.79321,173.76166,Sunny,0.05
5,5,Hamilton (Mercedes),43.64074,217.4024,Sunny,0.05
5,1,Verstappen (Red Bull),42.42105,42.42105,Sunny,0.05
5,2,Verstappen (Red Bull),42.6099,85.03094,Sunny,0.05
5,3,Verstappen (Red Bull),43.24454,128.27548,Sunny,0.05
5,4,Verstappen (Red Bull),43.58609,171.86158,Sunny,0.05
5,5,Verstappen (Red Bull),41.50139,213.36296,Sunny,0.05
5,1,Norris (McLaren),42.50156,42.50156,Sunny,0.05
5,2,Norris (McLaren),42.99264,85.4942,Sunny,0.05
5,3,Norris (McLaren),42.31965,127.81384,Sunny,0.05
5,4,Norris (McLaren),43.65344,171.46728,Sunny,0.05
5,5,Norris (McLaren),42.21291,213.68019,Sunny,0.05
6,1,Hamilton (Mercedes),43.38156,43.38156,Sunny,0.05
6,2,Hamilton (Mercedes),42.75986,86.14142,Sunny,0.05
6,3,Hamilton (Mercedes),43.29049,129.43191,Sunny,0.05
6,4,Hamilton (Mercedes),43.40195,172.83386,Sunny,0.05
6,5,Hamilton (Mercedes),42.29084,215.1247,Sunny,0.05
6,1,Verstappen (Red Bull),41.63438,41.63438,Sunny,0.05
6,2,Verstappen (Red Bull),43.26509,84.89947,Sunny,0.05
6,3,Verstappen (Red Bull),42.81665,127.71612,Sunny,0.05
6,4,Verstappen (Red Bull),42.34845,170.06457,Sunny,0.05
6,5,Verstappen (Red Bull),43.04597,213.11053,Sunny,0.05
6,1,Norris (McLaren),43.41733,43.41733,Sunny,0.05
6,2,Norris (McLaren),42.73342,86.15074,Sunny,0.05
6,3,Norris (McLaren),43.02669,129.17743,Sunny,0.05
6,4,Norris (McLaren),44.17074,173.34816,Sunny,0.05
6,5,Norris (McLaren),43.08826,216.43642,Sunny,0.05
7,1,Hamilton (Mercedes),43.67825,43.67825,Sunny,0.05
7,2,Hamilton (Mercedes),41.98062,85.65887,Sunny,0.05
7,3,Hamilton (Mercedes),43.41849,129.07736,Sunny,0.05
7,4,Hamilton (Mercedes),43.53565,172.61301,Sunny,0.05
