trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),43.8031,43.8031,Sunny,0.03
1,2,Hamilton (Mercedes),44.55827,88.36137,Sunny,0.03
1,3,Hamilton (Mercedes),44.17263,132.53401,Sunny,0.03
1,4,Hamilton (Mercedes),43.6174,176.1514,Sunny,0.03
1,5,Hamilton (Mercedes),44.39665,220.54805,Sunny,0.03
1,1,Verstappen (Red Bull),43.82032,43.82032,Sunny,0.03
1,2,Verstappen (Red Bull),44.27948,88.09979,Sunny,0.03
1,3,Verstappen (Red Bull),42.57453,130.67432,Sunny,0.03
1,4,Verstappen (Red Bull),43.0186,173.69293,Sunny,0.03
1,5,Verstappen (Red Bull),44.55258,218.24551,Sunny,0.03
1,1,Norris (McLaren),42.58795,42.58795,Sunny,0.03
1,2,Norris (McLaren),42.92238,85.51033,Sunny,0.03
1,3,Norris (McLaren),43.67704,129.18737,Sunny,0.03
1,4,Norris (McLaren),43.74702,172.93439,Sunny,0.03
1,5,Norris (McLaren),42.62045,215.55483,Sunny,0.03
2,1,Hamilton (Mercedes),43.95971,43.95971,Sunny,0.03
2,2,Hamilton (Mercedes),43.77508,87.73479,Sunny,0.03
2,3,Hamilton (Mercedes),45.5096,133.2444,Sunny,0.03
2,4,Hamilton (Mercedes),44.70574,177.95013,Sunny,0.03
2,5,Hamilton (Mercedes),45.2243,223.17443,Sunny,0.03
2,1,Verstappen (Red Bull),42.47778,42.47778,Sunny,0.03
2,2,Verstappen (Red Bull),43.4468,85.92458,Sunny,0.03
2,3,Verstappen (Red Bull),43.34326,129.26784,Sunny,0.03
2,4,Verstappen (Red Bull),43.79159,173.05943,Sunny,0.03
2,5,Verstappen (Red Bull),44.53475,217.59418,Sunny,0.03
2,1,Norris (McLaren),44.79575,44.79575,Sunny,0.03
2,2,Norris (McLaren),44.04208,88.83783,Sunny,0.03
2,3,Norris (McLaren),43.15515,131.99298,Sunny,0.03
2,4,Norris (McLaren),44.49272,176.4857,Sunny,0.03
2,5,Norris (McLaren),43.37042,219.85612,Sunny,0.03
3,1,Hamilton (Mercedes),44.88069,44.88069,Sunny,0.03
3,2,Hamilton (Mercedes),44.46361,89.3443,Sunny,0.03
3,3,Hamilton (Mercedes),44.06487,133.40917,Sunny,0.03
3,4,Hamilton (Mercedes),44.23319,177.64236,Sunny,0.03
3,5,Hamilton (Mercedes),43.57854,221.2209,Sunny,0.03
3,1,Verstappen (Red Bull),43.27563,43.27563,Sunny,0.03
3,2,Verstappen (Red Bull),43.77317,87.0488,Sunny,0.03
3,3,Verstappen (Red Bull),42.94396,129.99276,Sunny,0.03
3,4,Verstappen (Red Bull),42.91115,172.90391,Sunny,0.03
3,5,Verstappen (Red Bull),43.99926,216.90317,Sunny,0.03
