trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,246.726,0.0,28.568,7.50173,
1,1,Hamilton (Mercedes),1,CORNER,80.563,28.568,28.568,2.82904,1.0199
1,1,Hamilton (Mercedes),2,STRAIGHT,177.326,28.568,29.711,3.34083,
1,1,Hamilton (Mercedes),3,CORNER,75.882,29.711,29.711,2.56304,1.0199
1,1,Hamilton (Mercedes),4,STRAIGHT,239.944,29.711,18.915,4.29978,
1,1,Hamilton (Mercedes),5,CORNER,36.318,18.915,18.915,1.92903,1.0199
1,1,Hamilton (Mercedes),6,STRAIGHT,191.629,18.915,26.319,4.23303,
1,1,Hamilton (Mercedes),7,CORNER,124.454,26.319,26.319,4.73768,1.0199
1,1,Hamilton (Mercedes),8,STRAIGHT,204.616,26.319,23.784,3.83479,
1,1,Hamilton (Mercedes),9,CORNER,79.564,23.784,23.784,3.35422,1.0199
1,1,Hamilton (Mercedes),10,STRAIGHT,135.317,23.784,16.974,2.77577,
1,1,Hamilton (Mercedes),11,CORNER,62.337,16.974,16.974,3.68148,1.0199
1,2,Hamilton (Mercedes),0,STRAIGHT,246.726,0.0,28.568,7.50173,
1,2,Hamilton (Mercedes),1,CORNER,80.563,28.568,28.568,2.82904,1.0199
1,2,Hamilton (Mercedes),2,STRAIGHT,177.326,28.568,29.711,3.34083,
1,2,Hamilton (Mercedes),3,CORNER,75.882,29.711,29.711,2.56304,1.0199
1,2,Hamilton (Mercedes),4,STRAIGHT,239.944,29.711,18.915,4.29978,
1,2,Hamilton (Mercedes),5,CORNER,36.318,18.915,18.915,1.92903,1.0199
1,2,Hamilton (Mercedes),6,STRAIGHT,191.629,18.915,26.319,4.23303,
1,2,Hamilton (Mercedes),7,CORNER,124.454,26.319,26.319,4.73768,1.0199
1,2,Hamilton (Mercedes),8,STRAIGHT,204.616,26.319,23.784,3.83479,
1,2,Hamilton (Mercedes),9,CORNER,79.564,23.784,23.784,3.35422,1.0199
1,2,Hamilton (Mercedes),10,STRAIGHT,135.317,23.784,16.974,2.77577,
1,2,Hamilton (Mercedes),11,CORNER,62.337,16.974,16.974,3.68148,1.0199
1,3,Hamilton (Mercedes),0,STRAIGHT,246.726,0.0,28.568,7.50173,
1,3,Hamilton (Mercedes),1,CORNER,80.563,28.568,28.568,2.82904,1.0199
1,3,Hamilton (Mercedes),2,STRAIGHT,177.326,28.568,29.711,3.34083,
1,3,Hamilton (Mercedes),3,CORNER,75.882,29.711,29.711,2.56304,1.0199
1,3,Hamilton (Mercedes),4,STRAIGHT,239.944,29.711,18.915,4.29978,
1,3,Hamilton (Mercedes),5,CORNER,36.318,18.915,18.915,1.92903,1.0199
1,3,Hamilton (Mercedes),6,STRAIGHT,191.629,18.915,26.319,4.23303,
1,3,Hamilton (Mercedes),7,CORNER,124.454,26.319,26.319,4.73768,1.0199
1,3,Hamilton (Mercedes),8,STRAIGHT,204.616,26.319,23.784,3.83479,
1,3,Hamilton (Mercedes),9,CORNER,79.564,23.784,23.784,3.35422,1.0199
1,3,Hamilton (Mercedes),10,STRAIGHT,135.317,23.784,16.974,2.77577,
1,3,Hamilton (Mercedes),11,CORNER,62.337,16.974,16.974,3.68148,1.0199
1,4,Hamilton (Mercedes),0,STRAIGHT,246.726,0.0,28.568,7.50173,
1,4,Hamilton (Mercedes),1,CORNER,80.563,28.568,28.568,2.82904,1.0199
1,4,Hamilton (Mercedes),2,STRAIGHT,177.326,28.568,29.711,3.34083,
1,4,Hamilton (Mercedes),3,CORNER,75.882,29.711,29.711,2.56304,1.0199
1,4,Hamilton (Mercedes),4,STRAIGHT,239.944,29.711,18.915,4.29978,
1,4,Hamilton (Mercedes),5,CORNER,36.318,18.915,18.915,1.92903,1.0199
1,4,Hamilton (Mercedes),6,STRAIGHT,191.629,18.915,26.319,4.23303,
1,4,Hamilton (Mercedes),7,CORNER,124.454,26.319,26.319,4.73768,1.0199
1,4,Hamilton (Mercedes),8,STRAIGHT,204.616,26.319,23.784,3.83479,
1,4,Hamilton (Mercedes),9,CORNER,79.564,23.784,23.784,3.35422,1.0199
1,4,Hamilton (Mercedes),10,STRAIGHT,135.317,23.784,16.974,2.77577,
1,4,Hamilton (Mercedes),11,CORNER,62.337,16.974,16.974,3.68148,1.0199
1,5,Hamilton (Mercedes),0,STRAIGHT,246.726,0.0,28.568,7.50173,
1,5,Hamilton (Mercedes),1,CORNER,80.563,28.568,28.568,2.82904,1.0199
1,5,Hamilton (Mercedes),2,STRAIGHT,177.326,28.568,29.711,3.34083,
1,5,Hamilton (Mercedes),3,CORNER,75.882,29.711,29.711,2.56304,1.0199
