trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,194.504,0.0,23.472,6.78687,
1,1,Hamilton (Mercedes),1,CORNER,52.247,23.472,23.472,2.42098,1.0034
1,1,Hamilton (Mercedes),2,STRAIGHT,170.414,23.472,23.853,3.64669,
1,1,Hamilton (Mercedes),3,CORNER,61.936,23.853,23.853,2.79156,1.0034
1,1,Hamilton (Mercedes),4,STRAIGHT,110.424,23.853,27.139,2.66841,
1,1,Hamilton (Mercedes),5,CORNER,149.191,27.139,27.139,5.69225,1.0034
1,1,Hamilton (Mercedes),6,STRAIGHT,138.315,27.139,16.674,2.84054,
1,1,Hamilton (Mercedes),7,CORNER,31.993,16.674,16.674,2.11378,1.0034
1,1,Hamilton (Mercedes),8,STRAIGHT,152.943,16.674,21.285,3.87635,
1,1,Hamilton (Mercedes),9,CORNER,54.303,21.285,21.285,2.74629,1.0034
1,1,Hamilton (Mercedes),10,STRAIGHT,134.45,21.285,27.239,3.31027,
1,1,Hamilton (Mercedes),11,CORNER,58.081,27.239,27.239,2.32726,1.0034
1,2,Hamilton (Mercedes),0,STRAIGHT,194.504,0.0,23.472,6.78687,
1,2,Hamilton (Mercedes),1,CORNER,52.247,23.472,23.472,2.42098,1.0034
1,2,Hamilton (Mercedes),2,STRAIGHT,170.414,23.472,23.853,3.64669,
1,2,Hamilton (Mercedes),3,CORNER,61.936,23.853,23.853,2.79156,1.0034
1,2,Hamilton (Mercedes),4,STRAIGHT,110.424,23.853,27.139,2.66841,
1,2,Hamilton (Mercedes),5,CORNER,149.191,27.139,27.139,5.69225,1.0034
1,2,Hamilton (Mercedes),6,STRAIGHT,138.315,27.139,16.674,2.84054,
1,2,Hamilton (Mercedes),7,CORNER,31.993,16.674,16.674,2.11378,1.0034
1,2,Hamilton (Mercedes),8,STRAIGHT,152.943,16.674,21.285,3.87635,
1,2,Hamilton (Mercedes),9,CORNER,54.303,21.285,21.285,2.74629,1.0034
1,2,Hamilton (Mercedes),10,STRAIGHT,134.45,21.285,27.239,3.31027,
1,2,Hamilton (Mercedes),11,CORNER,58.081,27.239,27.239,2.32726,1.0034
1,3,Hamilton (Mercedes),0,STRAIGHT,194.504,0.0,23.472,6.78687,
1,3,Hamilton (Mercedes),1,CORNER,52.247,23.472,23.472,2.42098,1.0034
1,3,Hamilton (Mercedes),2,STRAIGHT,170.414,23.472,23.853,3.64669,
1,3,Hamilton (Mercedes),3,CORNER,61.936,23.853,23.853,2.79156,1.0034
1,3,Hamilton (Mercedes),4,STRAIGHT,110.424,23.853,27.139,2.66841,
1,3,Hamilton (Mercedes),5,CORNER,149.191,27.139,27.139,5.69225,1.0034
1,3,Hamilton (Mercedes),6,STRAIGHT,138.315,27.139,16.674,2.84054,
1,3,Hamilton (Mercedes),7,CORNER,31.993,16.674,16.674,2.11378,1.0034
1,3,Hamilton (Mercedes),8,STRAIGHT,152.943,16.674,21.285,3.87635,
1,3,Hamilton (Mercedes),9,CORNER,54.303,21.285,21.285,2.74629,1.0034
1,3,Hamilton (Mercedes),10,STRAIGHT,134.45,21.285,27.239,3.31027,
1,3,Hamilton (Mercedes),11,CORNER,58.081,27.239,27.239,2.32726,1.0034
1,4,Hamilton (Mercedes),0,STRAIGHT,194.504,0.0,23.472,6.78687,
1,4,Hamilton (Mercedes),1,CORNER,52.247,23.472,23.472,2.42098,1.0034
1,4,Hamilton (Mercedes),2,STRAIGHT,170.414,23.472,23.853,3.64669,
1,4,Hamilton (Mercedes),3,CORNER,61.936,23.853,23.853,2.79156,1.0034
1,4,Hamilton (Mercedes),4,STRAIGHT,110.424,23.853,27.139,2.66841,
1,4,Hamilton (Mercedes),5,CORNER,149.191,27.139,27.139,5.69225,1.0034
1,4,Hamilton (Mercedes),6,STRAIGHT,138.315,27.139,16.674,2.84054,
1,4,Hamilton (Mercedes),7,CORNER,31.993,16.674,16.674,2.11378,1.0034
1,4,Hamilton (Mercedes),8,STRAIGHT,152.943,16.674,21.285,3.87635,
1,4,Hamilton (Mercedes),9,CORNER,54.303,21.285,21.285,2.74629,1.0034
1,4,Hamilton (Mercedes),10,STRAIGHT,134.45,21.285,27.239,3.31027,
1,4,Hamilton (Mercedes),11,CORNER,58.081,27.239,27.239,2.32726,1.0034
1,5,Hamilton (Mercedes),0,STRAIGHT,194.504,0.0,23.472,6.78687,
1,5,Hamilton (Mercedes),1,CORNER,52.247,23.472,23.472,2.42098,1.0034
1,5,Hamilton (Mercedes),2,STRAIGHT,170.414,23.472,23.853,3.64669,
1,5,Hamilton (Mercedes),3,CORNER,61.936,23.853,23.853,2.79156,1.0034
1,5,Hamilton (Mercedes),4,STRAIGHT,110.424,23.853,27.139,2.66841,
1,5,Hamilton (Mercedes),5,CORNER,149.191,27.139,27.139,5.69225,1.0034
1,5,Hamilton (Mercedes),6,STRAIGHT,138.315,27.139,16.674,2.84054,
1,5,Hamilton (Mercedes),7,CORNER,31.993,16.674,16.674,2.11378,1.0034
1,5,Hamilton (Mercedes),8,STRAIGHT,152.943,16.674,21.285,3.87635,
1,5,Hamilton (Mercedes),9,CORNER,54.303,21.285,21.285,2.74629,1.0034
1,5,Hamilton (Mercedes),10,STRAIGHT,134.45,21.285,27.239,3.31027,
1,5,Hamilton (Mercedes),11,CORNER,58.081,27.239,27.239,2.32726,1.0034
1,1,Verstappen (Red Bull),0,STRAIGHT,194.504,0.0,23.428,6.62968,
1,1,Verstappen (Red Bull),1,CORNER,52.247,23.428,23.428,2.42513,0.9982
1,1,Verstappen (Red Bull),2,STRAIGHT,170.414,23.428,23.809,3.52776,
1,1,Verstappen (Red Bull),3,CORNER,61.936,23.809,23.809,2.79634,0.9982
1,1,Verstappen (Red Bull),4,STRAIGHT,110.424,23.809,27.095,2.59828,
1,1,Verstappen (Red Bull),5,CORNER,149.191,27.095,27.095,5.7012,0.9982
1,1,Verstappen (Red Bull),6,STRAIGHT,138.315,27.095,16.637,2.71605,
1,1,Verstappen (Red Bull),7,CORNER,31.993,16.637,16.637,2.11803,0.9982
1,1,Verstappen (Red Bull),8,STRAIGHT,152.943,16.637,21.242,3.74867,
1,1,Verstappen (Red Bull),9,CORNER,54.303,21.242,21.242,2.75137,0.9982
1,1,Verstappen (Red Bull),10,STRAIGHT,134.45,21.242,27.195,3.22702,
1,1,Verstappen (Red Bull),11,CORNER,58.081,27.195,27.195,2.33072,0.9982
1,2,Verstappen (Red Bull),0,STRAIGHT,194.504,0.0,23.428,6.62968,
1,2,Verstappen (Red Bull),1,CORNER,52.247,23.428,23.428,2.42513,0.9982
1,2,Verstappen (Red Bull),2,STRAIGHT,170.414,23.428,23.809,3.52776,
1,2,Verstappen (Red Bull),3,CORNER,61.936,23.809,23.809,2.79634,0.9982
1,2,Verstappen (Red Bull),4,STRAIGHT,110.424,23.809,27.095,2.59828,
1,2,Verstappen (Red Bull),5,CORNER,149.191,27.095,27.095,5.7012,0.9982
1,2,Verstappen (Red Bull),6,STRAIGHT,138.315,27.095,16.637,2.71605,
1,2,Verstappen (Red Bull),7,CORNER,31.993,16.637,16.637,2.11803,0.9982
1,2,Verstappen (Red Bull),8,STRAIGHT,152.943,16.637,21.242,3.74867,
1,2,Verstappen (Red Bull),9,CORNER,54.303,21.242,21.242,2.75137,0.9982
1,2,Verstappen (Red Bull),10,STRAIGHT,134.45,21.242,27.195,3.22702,
1,2,Verstappen (Red Bull),11,CORNER,58.081,27.195,27.195,2.33072,0.9982
1,3,Verstappen (Red Bull),0,STRAIGHT,194.504,0.0,23.428,6.62968,
1,3,Verstappen (Red Bull),1,CORNER,52.247,23.428,23.428,2.42513,0.9982
1,3,Verstappen (Red Bull),2,STRAIGHT,170.414,23.428,23.809,3.52776,
1,3,Verstappen (Red Bull),3,CORNER,61.936,23.809,23.809,2.79634,0.9982
1,3,Verstappen (Red Bull),4,STRAIGHT,110.424,23.809,27.095,2.59828,
1,3,Verstappen (Red Bull),5,CORNER,149.191,27.095,27.095,5.7012,0.9982
1,3,Verstappen (Red Bull),6,STRAIGHT,138.315,27.095,16.637,2.71605,
1,3,Verstappen (Red Bull),7,CORNER,31.993,16.637,16.637,2.11803,0.9982
1,3,Verstappen (Red Bull),8,STRAIGHT,152.943,16.637,21.242,3.74867,
1,3,Verstappen (Red Bull),9,CORNER,54.303,21.242,21.242,2.75137,0.9982
1,3,Verstappen (Red Bull),10,STRAIGHT,134.45,21.242,27.195,3.22702,
1,3,Verstappen (Red Bull),11,CORNER,58.081,27.195,27.195,2.33072,0.9982
1,4,Verstappen (Red Bull),0,STRAIGHT,194.504,0.0,23.428,6.62968,
1,4,Verstappen (Red Bull),1,CORNER,52.247,23.428,23.428,2.42513,0.9982
1,4,Verstappen (Red Bull),2,STRAIGHT,170.414,23.428,23.809,3.52776,
1,4,Verstappen (Red Bull),3,CORNER,61.936,23.809,23.809,2.79634,0.9982
1,4,Verstappen (Red Bull),4,STRAIGHT,110.424,23.809,27.095,2.59828,
1,4,Verstappen (Red Bull),5,CORNER,149.191,27.095,27.095,5.7012,0.9982
1,4,Verstappen (Red Bull),6,STRAIGHT,138.315,27.095,16.637,2.71605,
1,4,Verstappen (Red Bull),7,CORNER,31.993,16.637,16.637,2.11803,0.9982
1,4,Verstappen (Red Bull),8,STRAIGHT,152.943,16.637,21.242,3.74867,
1,4,Verstappen (Red Bull),9,CORNER,54.303,21.242,21.242,2.75137,0.9982
1,4,Verstappen (Red Bull),10,STRAIGHT,134.45,21.242,27.195,3.22702,
1,4,Verstappen (Red Bull),11,CORNER,58.081,27.195,27.195,2.33072,0.9982
1,5,Verstappen (Red Bull),0,STRAIGHT,194.504,0.0,23.428,6.62968,
1,5,Verstappen (Red Bull),1,CORNER,52.247,23.428,23.428,2.42513,0.9982
1,5,Verstappen (Red Bull),2,STRAIGHT,170.414,23.428,23.809,3.52776,
1,5,Verstappen (Red Bull),3,CORNER,61.936,23.809,23.809,2.79634,0.9982
1,5,Verstappen (Red Bull),4,STRAIGHT,110.424,23.809,27.095,2.59828,
1,5,Verstappen (Red Bull),5,CORNER,149.191,27.095,27.095,5.7012,0.9982
1,5,Verstappen (Red Bull),6,STRAIGHT,138.315,27.095,16.637,2.71605,
1,5,Verstappen (Red Bull),7,CORNER,31.993,16.637,16.637,2.11803,0.9982
1,5,Verstappen (Red Bull),8,STRAIGHT,152.943,16.637,21.242,3.74867,
1,5,Verstappen (Red Bull),9,CORNER,54.303,21.242,21.242,2.75137,0.9982
1,5,Verstappen (Red Bull),10,STRAIGHT,134.45,21.242,27.195,3.22702,
1,5,Verstappen (Red Bull),11,CORNER,58.081,27.195,27.195,2.33072,0.9982
1,1,Norris (McLaren),0,STRAIGHT,194.504,0.0,23.27,6.58748,
1,1,Norris (McLaren),1,CORNER,52.247,23.27,23.27,2.44027,0.9894
1,1,Norris (McLaren),2,STRAIGHT,170.414,23.27,23.647,3.48263,
1,1,Norris (McLaren),3,CORNER,61.936,23.647,23.647,2.8142,0.9894
1,1,Norris (McLaren),4,STRAIGHT,110.424,23.647,26.891,2.56914,
1,1,Norris (McLaren),5,CORNER,149.191,26.891,26.891,5.74296,0.9894
1,1,Norris (McLaren),6,STRAIGHT,138.315,26.891,16.544,2.66516,
1,1,Norris (McLaren),7,CORNER,31.993,16.544,16.544,2.12883,0.9894
1,1,Norris (McLaren),8,STRAIGHT,152.943,16.544,21.108,3.71032,
1,1,Norris (McLaren),9,CORNER,54.303,21.108,21.108,2.76765,0.9894
1,1,Norris (McLaren),10,STRAIGHT,134.45,21.108,26.99,3.19386,
1,1,Norris (McLaren),11,CORNER,58.081,26.99,26.99,2.34696,0.9894
1,2,Norris (McLaren),0,STRAIGHT,194.504,0.0,23.27,6.58748,
1,2,Norris (McLaren),1,CORNER,52.247,23.27,23.27,2.44027,0.9894
1,2,Norris (McLaren),2,STRAIGHT,170.414,23.27,23.647,3.48263,
1,2,Norris (McLaren),3,CORNER,61.936,23.647,23.647,2.8142,0.9894
1,2,Norris (McLaren),4,STRAIGHT,110.424,23.647,26.891,2.56914,
