trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,121.85,0.0,25.15,5.51514,
1,1,Hamilton (Mercedes),1,CORNER,108.93,25.15,25.15,4.34623,1.0596
1,1,Hamilton (Mercedes),2,STRAIGHT,205.827,25.15,29.569,4.0255,
1,1,Hamilton (Mercedes),3,CORNER,106.425,29.569,29.569,3.61415,1.0596
1,1,Hamilton (Mercedes),4,STRAIGHT,220.003,29.569,26.433,3.91306,
1,1,Hamilton (Mercedes),5,CORNER,54.349,26.433,26.433,2.07108,1.0596
1,1,Hamilton (Mercedes),6,STRAIGHT,168.392,26.433,17.568,3.24968,
1,1,Hamilton (Mercedes),7,CORNER,63.279,17.568,17.568,3.61692,1.0596
1,1,Hamilton (Mercedes),8,STRAIGHT,242.062,17.568,23.102,5.07495,
1,1,Hamilton (Mercedes),9,CORNER,59.499,23.102,23.102,2.59054,1.0596
1,1,Hamilton (Mercedes),10,STRAIGHT,215.203,23.102,20.703,4.22228,
1,1,Hamilton (Mercedes),11,CORNER,40.766,20.703,20.703,1.98404,1.0596
1,2,Hamilton (Mercedes),0,STRAIGHT,121.85,0.0,25.15,5.51514,
1,2,Hamilton (Mercedes),1,CORNER,108.93,25.15,25.15,4.34623,1.0596
1,2,Hamilton (Mercedes),2,STRAIGHT,205.827,25.15,29.569,4.0255,
1,2,Hamilton (Mercedes),3,CORNER,106.425,29.569,29.569,3.61415,1.0596
1,2,Hamilton (Mercedes),4,STRAIGHT,220.003,29.569,26.433,3.91306,
1,2,Hamilton (Mercedes),5,CORNER,54.349,26.433,26.433,2.07108,1.0596
1,2,Hamilton (Mercedes),6,STRAIGHT,168.392,26.433,17.568,3.24968,
1,2,Hamilton (Mercedes),7,CORNER,63.279,17.568,17.568,3.61692,1.0596
1,2,Hamilton (Mercedes),8,STRAIGHT,242.062,17.568,23.102,5.07495,
1,2,Hamilton (Mercedes),9,CORNER,59.499,23.102,23.102,2.59054,1.0596
1,2,Hamilton (Mercedes),10,STRAIGHT,215.203,23.102,20.703,4.22228,
1,2,Hamilton (Mercedes),11,CORNER,40.766,20.703,20.703,1.98404,1.0596
1,3,Hamilton (Mercedes),0,STRAIGHT,121.85,0.0,25.15,5.51514,
1,3,Hamilton (Mercedes),1,CORNER,108.93,25.15,25.15,4.34623,1.0596
1,3,Hamilton (Mercedes),2,STRAIGHT,205.827,25.15,29.569,4.0255,
1,3,Hamilton (Mercedes),3,CORNER,106.425,29.569,29.569,3.61415,1.0596
1,3,Hamilton (Mercedes),4,STRAIGHT,220.003,29.569,26.433,3.91306,
1,3,Hamilton (Mercedes),5,CORNER,54.349,26.433,26.433,2.07108,1.0596
1,3,Hamilton (Mercedes),6,STRAIGHT,168.392,26.433,17.568,3.24968,
1,3,Hamilton (Mercedes),7,CORNER,63.279,17.568,17.568,3.61692,1.0596
1,3,Hamilton (Mercedes),8,STRAIGHT,242.062,17.568,23.102,5.07495,
1,3,Hamilton (Mercedes),9,CORNER,59.499,23.102,23.102,2.59054,1.0596
1,3,Hamilton (Mercedes),10,STRAIGHT,215.203,23.102,20.703,4.22228,
1,3,Hamilton (Mercedes),11,CORNER,40.766,20.703,20.703,1.98404,1.0596
1,4,Hamilton (Mercedes),0,STRAIGHT,121.85,0.0,25.15,5.51514,
1,4,Hamilton (Mercedes),1,CORNER,108.93,25.15,25.15,4.34623,1.0596
1,4,Hamilton (Mercedes),2,STRAIGHT,205.827,25.15,29.569,4.0255,
1,4,Hamilton (Mercedes),3,CORNER,106.425,29.569,29.569,3.61415,1.0596
1,4,Hamilton (Mercedes),4,STRAIGHT,220.003,29.569,26.433,3.91306,
1,4,Hamilton (Mercedes),5,CORNER,54.349,26.433,26.433,2.07108,1.0596
1,4,Hamilton (Mercedes),6,STRAIGHT,168.392,26.433,17.568,3.24968,
1,4,Hamilton (Mercedes),7,CORNER,63.279,17.568,17.568,3.61692,1.0596
1,4,Hamilton (Mercedes),8,STRAIGHT,242.062,17.568,23.102,5.07495,
1,4,Hamilton (Mercedes),9,CORNER,59.499,23.102,23.102,2.59054,1.0596
1,4,Hamilton (Mercedes),10,STRAIGHT,215.203,23.102,20.703,4.22228,
1,4,Hamilton (Mercedes),11,CORNER,40.766,20.703,20.703,1.98404,1.0596
1,5,Hamilton (Mercedes),0,STRAIGHT,121.85,0.0,25.15,5.51514,
1,5,Hamilton (Mercedes),1,CORNER,108.93,25.15,25.15,4.34623,1.0596
1,5,Hamilton (Mercedes),2,STRAIGHT,205.827,25.15,29.569,4.0255,
1,5,Hamilton (Mercedes),3,CORNER,106.425,29.569,29.569,3.61415,1.0596
1,5,Hamilton (Mercedes),4,STRAIGHT,220.003,29.569,26.433,3.91306,
1,5,Hamilton (Mercedes),5,CORNER,54.349,26.433,26.433,2.07108,1.0596
1,5,Hamilton (Mercedes),6,STRAIGHT,168.392,26.433,17.568,3.24968,
1,5,Hamilton (Mercedes),7,CORNER,63.279,17.568,17.568,3.61692,1.0596
1,5,Hamilton (Mercedes),8,STRAIGHT,242.062,17.568,23.102,5.07495,
1,5,Hamilton (Mercedes),9,CORNER,59.499,23.102,23.102,2.59054,1.0596
1,5,Hamilton (Mercedes),10,STRAIGHT,215.203,23.102,20.703,4.22228,
1,5,Hamilton (Mercedes),11,CORNER,40.766,20.703,20.703,1.98404,1.0596
1,1,Verstappen (Red Bull),0,STRAIGHT,121.85,0.0,24.777,5.41463,
1,1,Verstappen (Red Bull),1,CORNER,108.93,24.777,24.777,4.41145,1.0295
1,1,Verstappen (Red Bull),2,STRAIGHT,205.827,24.777,29.125,3.93412,
1,1,Verstappen (Red Bull),3,CORNER,106.425,29.125,29.125,3.6691,1.0295
1,1,Verstappen (Red Bull),4,STRAIGHT,220.003,29.125,26.04,3.81804,
1,1,Verstappen (Red Bull),5,CORNER,54.349,26.04,26.04,2.10216,1.0295
1,1,Verstappen (Red Bull),6,STRAIGHT,168.392,26.04,17.312,3.14038,
1,1,Verstappen (Red Bull),7,CORNER,63.279,17.312,17.312,3.67013,1.0295
1,1,Verstappen (Red Bull),8,STRAIGHT,242.062,17.312,22.761,4.92763,
1,1,Verstappen (Red Bull),9,CORNER,59.499,22.761,22.761,2.6291,1.0295
