trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),43.30733,43.30733,Sunny,0.0
1,2,Hamilton (Mercedes),43.57944,86.88677,Sunny,0.0
1,3,Hamilton (Mercedes),42.15536,129.04213,Sunny,0.0
1,4,Hamilton (Mercedes),42.13918,171.18131,Sunny,0.0
1,5,Hamilton (Mercedes),43.44751,214.62882,Sunny,0.0
1,1,Verstappen (Red Bull),44.12142,44.12142,Sunny,0.0
1,2,Verstappen (Red Bull),41.65067,85.7721,Sunny,0.0
1,3,Verstappen (Red Bull),42.36651,128.13861,Sunny,0.0
1,4,Verstappen (Red Bull),42.91036,171.04897,Sunny,0.0
1,5,Verstappen (Red Bull),42.47521,213.52418,Sunny,0.0
1,1,Norris (McLaren),43.09199,43.09199,Sunny,0.0
1,2,Norris (McLaren),43.01883,86.11082,Sunny,0.0
1,3,Norris (McLaren),43.98457,130.09538,Sunny,0.0
1,4,Norris (McLaren),43.32514,173.42052,Sunny,0.0
1,5,Norris (McLaren),43.43052,216.85104,Sunny,0.0
2,1,Hamilton (Mercedes),42.43641,42.43641,Sunny,0.0
2,2,Hamilton (Mercedes),43.48361,85.92002,Sunny,0.0
2,3,Hamilton (Mercedes),44.08285,130.00287,Sunny,0.0
2,4,Hamilton (Mercedes),43.459,173.46187,Sunny,0.0
2,5,Hamilton (Mercedes),42.91792,216.37978,Sunny,0.0
2,1,Verstappen (Red Bull),42.02401,42.02401,Sunny,0.0
2,2,Verstappen (Red Bull),43.0274,85.05141,Sunny,0.0
2,3,Verstappen (Red Bull),43.01054,128.06195,Sunny,0.0
2,4,Verstappen (Red Bull),42.60774,170.66968,Sunny,0.0
2,5,Verstappen (Red Bull),41.39622,212.0659,Sunny,0.0
2,1,Norris (McLaren),42.70458,42.70458,Sunny,0.0
2,2,Norris (McLaren),42.4619,85.16648,Sunny,0.0
2,3,Norris (McLaren),42.61477,127.78125,Sunny,0.0
2,4,Norris (McLaren),43.42753,171.20878,Sunny,0.0
2,5,Norris (McLaren),42.49979,213.70857,Sunny,0.0
3,1,Hamilton (Mercedes),42.94384,42.94384,Sunny,0.0
3,2,Hamilton (Mercedes),43.81462,86.75846,Sunny,0.0
3,3,Hamilton (Mercedes),42.63761,129.39607,Sunny,0.0
3,4,Hamilton (Mercedes),43.03468,172.43075,Sunny,0.0
3,5,Hamilton (Mercedes),43.43094,215.86169,Sunny,0.0
3,1,Verstappen (Red Bull),42.35561,42.35561,Sunny,0.0
3,2,Verstappen (Red Bull),41.83856,84.19417,Sunny,0.0
3,3,Verstappen (Red Bull),42.87116,127.06534,Sunny,0.0
3,4,Verstappen (Red Bull),43.23024,170.29557,Sunny,0.0
3,5,Verstappen (Red Bull),41.6985,211.99407,Sunny,0.0
3,1,Norris (McLaren),42.99911,42.99911,Sunny,0.0
3,2,Norris (McLaren),42.87714,85.87625,Sunny,0.0
3,3,Norris (McLaren),44.15887,130.03512,Sunny,0.0
3,4,Norris (McLaren),42.07801,172.11312,Sunny,0.0
3,5,Norris (McLaren),43.0452,215.15832,Sunny,0.0
4,1,Hamilton (Mercedes),42.22921,42.22921,Sunny,0.0
4,2,Hamilton (Mercedes),42.49864,84.72785,Sunny,0.0
4,3,Hamilton (Mercedes),43.06796,127.79581,Sunny,0.0
4,4,Hamilton (Mercedes),42.85879,170.6546,Sunny,0.0
4,5,Hamilton (Mercedes),42.97112,213.62572,Sunny,0.0
4,1,Verstappen (Red Bull),42.27887,42.27887,Sunny,0.0
4,2,Verstappen (Red Bull),41.78715,84.06602,Sunny,0.0
4,3,Verstappen (Red Bull),43.24922,127.31524,Sunny,0.0
4,4,Verstappen (Red Bull),43.57403,170.88927,Sunny,0.0
4,5,Verstappen (Red Bull),42.69749,213.58676,Sunny,0.0
4,1,Norris (McLaren),42.96763,42.96763,Sunny,0.0
4,2,Norris (McLaren),44.17187,87.13951,Sunny,0.0
4,3,Norris (McLaren),43.58825,130.72775,Sunny,0.0
4,4,Norris (McLaren),43.414,174.14175,Sunny,0.0
4,5,Norris (McLaren),43.87708,218.01884,Sunny,0.0
5,1,Hamilton (Mercedes),42.55864,42.55864,Sunny,0.0
5,2,Hamilton (Mercedes),42.58506,85.14369,Sunny,0.0
5,3,Hamilton (Mercedes),43.11575,128.25944,Sunny,0.0
5,4,Hamilton (Mercedes),42.42693,170.68637,Sunny,0.0
5,5,Hamilton (Mercedes),43.07848,213.76486,Sunny,0.0
5,1,Verstappen (Red Bull),42.85048,42.85048,Sunny,0.0
5,2,Verstappen (Red Bull),43.04842,85.8989,Sunny,0.0
5,3,Verstappen (Red Bull),43.01301,128.9119,Sunny,0.0
5,4,Verstappen (Red Bull),41.89878,170.81069,Sunny,0.0
5,5,Verstappen (Red Bull),42.63394,213.44463,Sunny,0.0
5,1,Norris (McLaren),43.47295,43.47295,Sunny,0.0
5,2,Norris (McLaren),43.95642,87.42936,Sunny,0.0
5,3,Norris (McLaren),43.9364,131.36577,Sunny,0.0
5,4,Norris (McLaren),43.03256,174.39832,Sunny,0.0
5,5,Norris (McLaren),43.08402,217.48234,Sunny,0.0
6,1,Hamilton (Mercedes),42.39729,42.39729,Sunny,0.0
6,2,Hamilton (Mercedes),42.79366,85.19095,Sunny,0.0
6,3,Hamilton (Mercedes),42.60697,127.79792,Sunny,0.0
6,4,Hamilton (Mercedes),42.32212,170.12004,Sunny,0.0
6,5,Hamilton (Mercedes),42.88857,213.00861,Sunny,0.0
6,1,Verstappen (Red Bull),43.30128,43.30128,Sunny,0.0
6,2,Verstappen (Red Bull),43.61789,86.91917,Sunny,0.0
6,3,Verstappen (Red Bull),42.89458,129.81375,Sunny,0.0
6,4,Verstappen (Red Bull),42.65055,172.4643,Sunny,0.0
6,5,Verstappen (Red Bull),42.90876,215.37306,Sunny,0.0
6,1,Norris (McLaren),43.78946,43.78946,Sunny,0.0
6,2,Norris (McLaren),43.61144,87.4009,Sunny,0.0
6,3,Norris (McLaren),43.51006,130.91096,Sunny,0.0
6,4,Norris (McLaren),43.08064,173.99159,Sunny,0.0
6,5,Norris (McLaren),43.02971,217.0213,Sunny,0.0
7,1,Hamilton (Mercedes),44.30257,44.30257,Sunny,0.0
7,2,Hamilton (Mercedes),43.64837,87.95094,Sunny,0.0
7,3,Hamilton (Mercedes),42.57575,130.52669,Sunny,0.0
7,4,Hamilton (Mercedes),43.50701,174.0337,Sunny,0.0
7,5,Hamilton (Mercedes),42.63606,216.66977,Sunny,0.0
7,1,Verstappen (Red Bull),42.85671,42.85671,Sunny,0.0
7,2,Verstappen (Red Bull),42.42411,85.28082,Sunny,0.0
7,3,Verstappen (Red Bull),42.87777,128.15859,Sunny,0.0
7,4,Verstappen (Red Bull),42.40354,170.56213,Sunny,0.0
7,5,Verstappen (Red Bull),42.57122,213.13335,Sunny,0.0
7,1,Norris (McLaren),43.58603,43.58603,Sunny,0.0
7,2,Norris (McLaren),43.67007,87.2561,Sunny,0.0
7,3,Norris (McLaren),41.95778,129.21388,Sunny,0.0
7,4,Norris (McLaren),44.12137,173.33525,Sunny,0.0
7,5,Norris (McLaren),41.73539,215.07064,Sunny,0.0
8,1,Hamilton (Mercedes),42.25237,42.25237,Sunny,0.0
8,2,Hamilton (Mercedes),42.78332,85.03568,Sunny,0.0
8,3,Hamilton (Mercedes),43.36416,128.39984,Sunny,0.0
8,4,Hamilton (Mercedes),43.03602,171.43586,Sunny,0.0
8,5,Hamilton (Mercedes),42.78352,214.21938,Sunny,0.0
8,1,Verstappen (Red Bull),43.32703,43.32703,Sunny,0.0
8,2,Verstappen (Red Bull),42.76747,86.09449,Sunny,0.0
8,3,Verstappen (Red Bull),42.71492,128.80942,Sunny,0.0
8,4,Verstappen (Red Bull),43.21218,172.0216,Sunny,0.0
8,5,Verstappen (Red Bull),42.33617,214.35777,Sunny,0.0
8,1,Norris (McLaren),44.8099,44.8099,Sunny,0.0
8,2,Norris (McLaren),44.17159,88.98149,Sunny,0.0
8,3,Norris (McLaren),43.25807,132.23956,Sunny,0.0
8,4,Norris (McLaren),43.31166,175.55122,Sunny,0.0
8,5,Norris (McLaren),43.39567,218.94688,Sunny,0.0
9,1,Hamilton (Mercedes),43.5161,43.5161,Sunny,0.0
9,2,Hamilton (Mercedes),43.33829,86.85439,Sunny,0.0
9,3,Hamilton (Mercedes),42.65222,129.50661,Sunny,0.0
9,4,Hamilton (Mercedes),42.53374,172.04035,Sunny,0.0
9,5,Hamilton (Mercedes),43.72204,215.76239,Sunny,0.0
9,1,Verstappen (Red Bull),41.95328,41.95328,Sunny,0.0
9,2,Verstappen (Red Bull),42.27443,84.22771,Sunny,0.0
9,3,Verstappen (Red Bull),43.43886,127.66657,Sunny,0.0
9,4,Verstappen (Red Bull),41.93175,169.59832,Sunny,0.0
9,5,Verstappen (Red Bull),43.0815,212.67982,Sunny,0.0
9,1,Norris (McLaren),44.05043,44.05043,Sunny,0.0
9,2,Norris (McLaren),45.01144,89.06186,Sunny,0.0
9,3,Norris (McLaren),44.2366,133.29846,Sunny,0.0
9,4,Norris (McLaren),43.43608,176.73454,Sunny,0.0
9,5,Norris (McLaren),42.56576,219.3003,Sunny,0.0
10,1,Hamilton (Mercedes),43.89083,43.89083,Sunny,0.0
