trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,241.084,0.0,23.254,7.28745,
1,1,Hamilton (Mercedes),1,CORNER,69.891,23.254,23.254,3.02058,1.0596
1,1,Hamilton (Mercedes),2,STRAIGHT,243.563,23.254,32.551,4.80352,
1,1,Hamilton (Mercedes),3,CORNER,119.574,32.551,32.551,3.68842,1.0596
1,1,Hamilton (Mercedes),4,STRAIGHT,166.555,32.551,32.29,2.99479,
1,1,Hamilton (Mercedes),5,CORNER,158.018,32.29,32.29,4.90864,1.0596
1,1,Hamilton (Mercedes),6,STRAIGHT,183.426,32.29,16.747,3.3097,
1,1,Hamilton (Mercedes),7,CORNER,50.815,16.747,16.747,3.04935,1.0596
1,1,Hamilton (Mercedes),8,STRAIGHT,193.796,16.747,23.201,4.40723,
1,1,Hamilton (Mercedes),9,CORNER,49.45,23.201,23.201,2.14642,1.0596
1,1,Hamilton (Mercedes),10,STRAIGHT,100.439,23.201,19.898,2.13369,
1,1,Hamilton (Mercedes),11,CORNER,35.648,19.898,19.898,1.80658,1.0596
1,2,Hamilton (Mercedes),0,STRAIGHT,241.084,0.0,23.254,7.28745,
1,2,Hamilton (Mercedes),1,CORNER,69.891,23.254,23.254,3.02058,1.0596
1,2,Hamilton (Mercedes),2,STRAIGHT,243.563,23.254,32.551,4.80352,
1,2,Hamilton (Mercedes),3,CORNER,119.574,32.551,32.551,3.68842,1.0596
1,2,Hamilton (Mercedes),4,STRAIGHT,166.555,32.551,32.29,2.99479,
1,2,Hamilton (Mercedes),5,CORNER,158.018,32.29,32.29,4.90864,1.0596
1,2,Hamilton (Mercedes),6,STRAIGHT,183.426,32.29,16.747,3.3097,
1,2,Hamilton (Mercedes),7,CORNER,50.815,16.747,16.747,3.04935,1.0596
1,2,Hamilton (Mercedes),8,STRAIGHT,193.796,16.747,23.201,4.40723,
1,2,Hamilton (Mercedes),9,CORNER,49.45,23.201,23.201,2.14642,1.0596
1,2,Hamilton (Mercedes),10,STRAIGHT,100.439,23.201,19.898,2.13369,
1,2,Hamilton (Mercedes),11,CORNER,35.648,19.898,19.898,1.80658,1.0596
