trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,219.601,0.0,30.266,7.15166,
1,1,Hamilton (Mercedes),1,CORNER,146.877,30.266,30.266,4.98795,0.9231
1,1,Hamilton (Mercedes),2,STRAIGHT,138.346,30.266,27.654,2.52235,
1,1,Hamilton (Mercedes),3,CORNER,102.011,27.654,27.654,3.82387,0.9231
1,1,Hamilton (Mercedes),4,STRAIGHT,220.204,27.654,21.493,3.91759,
1,1,Hamilton (Mercedes),5,CORNER,79.153,21.493,21.493,3.81777,0.9231
1,1,Hamilton (Mercedes),6,STRAIGHT,218.733,21.493,15.739,4.31399,
1,1,Hamilton (Mercedes),7,CORNER,34.143,15.739,15.739,2.30426,0.9231
1,1,Hamilton (Mercedes),8,STRAIGHT,159.729,15.739,20.769,3.80956,
1,1,Hamilton (Mercedes),9,CORNER,98.455,20.769,20.769,4.87557,0.9231
1,1,Hamilton (Mercedes),10,STRAIGHT,110.381,20.769,23.199,2.58101,
1,1,Hamilton (Mercedes),11,CORNER,68.669,23.199,23.199,3.095,0.9231
1,2,Hamilton (Mercedes),0,STRAIGHT,219.601,0.0,30.266,7.15166,
1,2,Hamilton (Mercedes),1,CORNER,146.877,30.266,30.266,4.98795,0.9231
1,2,Hamilton (Mercedes),2,STRAIGHT,138.346,30.266,27.654,2.52235,
1,2,Hamilton (Mercedes),3,CORNER,102.011,27.654,27.654,3.82387,0.9231
1,2,Hamilton (Mercedes),4,STRAIGHT,220.204,27.654,21.493,3.91759,
1,2,Hamilton (Mercedes),5,CORNER,79.153,21.493,21.493,3.81777,0.9231
1,2,Hamilton (Mercedes),6,STRAIGHT,218.733,21.493,15.739,4.31399,
1,2,Hamilton (Mercedes),7,CORNER,34.143,15.739,15.739,2.30426,0.9231
1,2,Hamilton (Mercedes),8,STRAIGHT,159.729,15.739,20.769,3.80956,
1,2,Hamilton (Mercedes),9,CORNER,98.455,20.769,20.769,4.87557,0.9231
1,2,Hamilton (Mercedes),10,STRAIGHT,110.381,20.769,23.199,2.58101,
1,2,Hamilton (Mercedes),11,CORNER,68.669,23.199,23.199,3.095,0.9231
1,3,Hamilton (Mercedes),0,STRAIGHT,219.601,0.0,30.266,7.15166,
1,3,Hamilton (Mercedes),1,CORNER,146.877,30.266,30.266,4.98795,0.9231
1,3,Hamilton (Mercedes),2,STRAIGHT,138.346,30.266,27.654,2.52235,
1,3,Hamilton (Mercedes),3,CORNER,102.011,27.654,27.654,3.82387,0.9231
1,3,Hamilton (Mercedes),4,STRAIGHT,220.204,27.654,21.493,3.91759,
1,3,Hamilton (Mercedes),5,CORNER,79.153,21.493,21.493,3.81777,0.9231
1,3,Hamilton (Mercedes),6,STRAIGHT,218.733,21.493,15.739,4.31399,
1,3,Hamilton (Mercedes),7,CORNER,34.143,15.739,15.739,2.30426,0.9231
1,3,Hamilton (Mercedes),8,STRAIGHT,159.729,15.739,20.769,3.80956,
1,3,Hamilton (Mercedes),9,CORNER,98.455,20.769,20.769,4.87557,0.9231
1,3,Hamilton (Mercedes),10,STRAIGHT,110.381,20.769,23.199,2.58101,
1,3,Hamilton (Mercedes),11,CORNER,68.669,23.199,23.199,3.095,0.9231
1,4,Hamilton (Mercedes),0,STRAIGHT,219.601,0.0,30.266,7.15166,
1,4,Hamilton (Mercedes),1,CORNER,146.877,30.266,30.266,4.98795,0.9231
1,4,Hamilton (Mercedes),2,STRAIGHT,138.346,30.266,27.654,2.52235,
1,4,Hamilton (Mercedes),3,CORNER,102.011,27.654,27.654,3.82387,0.9231
1,4,Hamilton (Mercedes),4,STRAIGHT,220.204,27.654,21.493,3.91759,
1,4,Hamilton (Mercedes),5,CORNER,79.153,21.493,21.493,3.81777,0.9231
1,4,Hamilton (Mercedes),6,STRAIGHT,218.733,21.493,15.739,4.31399,
1,4,Hamilton (Mercedes),7,CORNER,34.143,15.739,15.739,2.30426,0.9231
1,4,Hamilton (Mercedes),8,STRAIGHT,159.729,15.739,20.769,3.80956,
1,4,Hamilton (Mercedes),9,CORNER,98.455,20.769,20.769,4.87557,0.9231
1,4,Hamilton (Mercedes),10,STRAIGHT,110.381,20.769,23.199,2.58101,
1,4,Hamilton (Mercedes),11,CORNER,68.669,23.199,23.199,3.095,0.9231
1,5,Hamilton (Mercedes),0,STRAIGHT,219.601,0.0,30.266,7.15166,
1,5,Hamilton (Mercedes),1,CORNER,146.877,30.266,30.266,4.98795,0.9231
1,5,Hamilton (Mercedes),2,STRAIGHT,138.346,30.266,27.654,2.52235,
1,5,Hamilton (Mercedes),3,CORNER,102.011,27.654,27.654,3.82387,0.9231
1,5,Hamilton (Mercedes),4,STRAIGHT,220.204,27.654,21.493,3.91759,
1,5,Hamilton (Mercedes),5,CORNER,79.153,21.493,21.493,3.81777,0.9231
1,5,Hamilton (Mercedes),6,STRAIGHT,218.733,21.493,15.739,4.31399,
1,5,Hamilton (Mercedes),7,CORNER,34.143,15.739,15.739,2.30426,0.9231
1,5,Hamilton (Mercedes),8,STRAIGHT,159.729,15.739,20.769,3.80956,
1,5,Hamilton (Mercedes),9,CORNER,98.455,20.769,20.769,4.87557,0.9231
1,5,Hamilton (Mercedes),10,STRAIGHT,110.381,20.769,23.199,2.58101,
1,5,Hamilton (Mercedes),11,CORNER,68.669,23.199,23.199,3.095,0.9231
1,1,Verstappen (Red Bull),0,STRAIGHT,219.601,0.0,30.896,7.13163,
1,1,Verstappen (Red Bull),1,CORNER,146.877,30.896,30.896,4.88896,0.9535
1,1,Verstappen (Red Bull),2,STRAIGHT,138.346,30.896,28.209,2.47429,
1,1,Verstappen (Red Bull),3,CORNER,102.011,28.209,28.209,3.75122,0.9535
1,1,Verstappen (Red Bull),4,STRAIGHT,220.204,28.209,21.893,3.83916,
1,1,Verstappen (Red Bull),5,CORNER,79.153,21.893,21.893,3.75051,0.9535
1,1,Verstappen (Red Bull),6,STRAIGHT,218.733,21.893,16.016,4.21168,
1,1,Verstappen (Red Bull),7,CORNER,34.143,16.016,16.016,2.26685,0.9535
1,1,Verstappen (Red Bull),8,STRAIGHT,159.729,16.016,21.152,3.73501,
1,1,Verstappen (Red Bull),9,CORNER,98.455,21.152,21.152,4.78968,0.9535
1,1,Verstappen (Red Bull),10,STRAIGHT,110.381,21.152,23.639,2.53095,
1,1,Verstappen (Red Bull),11,CORNER,68.669,23.639,23.639,3.03987,0.9535
1,2,Verstappen (Red Bull),0,STRAIGHT,219.601,0.0,30.896,7.13163,
1,2,Verstappen (Red Bull),1,CORNER,146.877,30.896,30.896,4.88896,0.9535
1,2,Verstappen (Red Bull),2,STRAIGHT,138.346,30.896,28.209,2.47429,
1,2,Verstappen (Red Bull),3,CORNER,102.011,28.209,28.209,3.75122,0.9535
1,2,Verstappen (Red Bull),4,STRAIGHT,220.204,28.209,21.893,3.83916,
1,2,Verstappen (Red Bull),5,CORNER,79.153,21.893,21.893,3.75051,0.9535
1,2,Verstappen (Red Bull),6,STRAIGHT,218.733,21.893,16.016,4.21168,
1,2,Verstappen (Red Bull),7,CORNER,34.143,16.016,16.016,2.26685,0.9535
1,2,Verstappen (Red Bull),8,STRAIGHT,159.729,16.016,21.152,3.73501,
1,2,Verstappen (Red Bull),9,CORNER,98.455,21.152,21.152,4.78968,0.9535
1,2,Verstappen (Red Bull),10,STRAIGHT,110.381,21.152,23.639,2.53095,
1,2,Verstappen (Red Bull),11,CORNER,68.669,23.639,23.639,3.03987,0.9535
1,3,Verstappen (Red Bull),0,STRAIGHT,219.601,0.0,30.896,7.13163,
1,3,Verstappen (Red Bull),1,CORNER,146.877,30.896,30.896,4.88896,0.9535
1,3,Verstappen (Red Bull),2,STRAIGHT,138.346,30.896,28.209,2.47429,
1,3,Verstappen (Red Bull),3,CORNER,102.011,28.209,28.209,3.75122,0.9535
1,3,Verstappen (Red Bull),4,STRAIGHT,220.204,28.209,21.893,3.83916,
1,3,Verstappen (Red Bull),5,CORNER,79.153,21.893,21.893,3.75051,0.9535
1,3,Verstappen (Red Bull),6,STRAIGHT,218.733,21.893,16.016,4.21168,
1,3,Verstappen (Red Bull),7,CORNER,34.143,16.016,16.016,2.26685,0.9535
1,3,Verstappen (Red Bull),8,STRAIGHT,159.729,16.016,21.152,3.73501,
1,3,Verstappen (Red Bull),9,CORNER,98.455,21.152,21.152,4.78968,0.9535
1,3,Verstappen (Red Bull),10,STRAIGHT,110.381,21.152,23.639,2.53095,
1,3,Verstappen (Red Bull),11,CORNER,68.669,23.639,23.639,3.03987,0.9535
1,4,Verstappen (Red Bull),0,STRAIGHT,219.601,0.0,30.896,7.13163,
1,4,Verstappen (Red Bull),1,CORNER,146.877,30.896,30.896,4.88896,0.9535
1,4,Verstappen (Red Bull),2,STRAIGHT,138.346,30.896,28.209,2.47429,
1,4,Verstappen (Red Bull),3,CORNER,102.011,28.209,28.209,3.75122,0.9535
1,4,Verstappen (Red Bull),4,STRAIGHT,220.204,28.209,21.893,3.83916,
1,4,Verstappen (Red Bull),5,CORNER,79.153,21.893,21.893,3.75051,0.9535
1,4,Verstappen (Red Bull),6,STRAIGHT,218.733,21.893,16.016,4.21168,
1,4,Verstappen (Red Bull),7,CORNER,34.143,16.016,16.016,2.26685,0.9535
1,4,Verstappen (Red Bull),8,STRAIGHT,159.729,16.016,21.152,3.73501,
1,4,Verstappen (Red Bull),9,CORNER,98.455,21.152,21.152,4.78968,0.9535
1,4,Verstappen (Red Bull),10,STRAIGHT,110.381,21.152,23.639,2.53095,
1,4,Verstappen (Red Bull),11,CORNER,68.669,23.639,23.639,3.03987,0.9535
1,5,Verstappen (Red Bull),0,STRAIGHT,219.601,0.0,30.896,7.13163,
1,5,Verstappen (Red Bull),1,CORNER,146.877,30.896,30.896,4.88896,0.9535
1,5,Verstappen (Red Bull),2,STRAIGHT,138.346,30.896,28.209,2.47429,
1,5,Verstappen (Red Bull),3,CORNER,102.011,28.209,28.209,3.75122,0.9535
1,5,Verstappen (Red Bull),4,STRAIGHT,220.204,28.209,21.893,3.83916,
1,5,Verstappen (Red Bull),5,CORNER,79.153,21.893,21.893,3.75051,0.9535
1,5,Verstappen (Red Bull),6,STRAIGHT,218.733,21.893,16.016,4.21168,
1,5,Verstappen (Red Bull),7,CORNER,34.143,16.016,16.016,2.26685,0.9535
1,5,Verstappen (Red Bull),8,STRAIGHT,159.729,16.016,21.152,3.73501,
1,5,Verstappen (Red Bull),9,CORNER,98.455,21.152,21.152,4.78968,0.9535
1,5,Verstappen (Red Bull),10,STRAIGHT,110.381,21.152,23.639,2.53095,
1,5,Verstappen (Red Bull),11,CORNER,68.669,23.639,23.639,3.03987,0.9535
1,1,Norris (McLaren),0,STRAIGHT,219.601,0.0,31.191,7.19439,
1,1,Norris (McLaren),1,CORNER,146.877,31.191,31.191,4.8439,0.9747
1,1,Norris (McLaren),2,STRAIGHT,138.346,31.191,28.486,2.47083,
1,1,Norris (McLaren),3,CORNER,102.011,28.486,28.486,3.71609,0.9747
1,1,Norris (McLaren),4,STRAIGHT,220.204,28.486,22.118,3.84232,
1,1,Norris (McLaren),5,CORNER,79.153,22.118,22.118,3.71364,0.9747
1,1,Norris (McLaren),6,STRAIGHT,218.733,22.118,16.186,4.2351,
1,1,Norris (McLaren),7,CORNER,34.143,16.186,16.186,2.24439,0.9747
1,1,Norris (McLaren),8,STRAIGHT,159.729,16.186,21.371,3.76329,
1,1,Norris (McLaren),9,CORNER,98.455,21.371,21.371,4.74199,0.9747
1,1,Norris (McLaren),10,STRAIGHT,110.381,21.371,23.88,2.54236,
1,1,Norris (McLaren),11,CORNER,68.669,23.88,23.88,3.0106,0.9747
1,2,Norris (McLaren),0,STRAIGHT,219.601,0.0,31.191,7.19439,
1,2,Norris (McLaren),1,CORNER,146.877,31.191,31.191,4.8439,0.9747
1,2,Norris (McLaren),2,STRAIGHT,138.346,31.191,28.486,2.47083,
1,2,Norris (McLaren),3,CORNER,102.011,28.486,28.486,3.71609,0.9747
1,2,Norris (McLaren),4,STRAIGHT,220.204,28.486,22.118,3.84232,
1,2,Norris (McLaren),5,CORNER,79.153,22.118,22.118,3.71364,0.9747
1,2,Norris (McLaren),6,STRAIGHT,218.733,22.118,16.186,4.2351,
1,2,Norris (McLaren),7,CORNER,34.143,16.186,16.186,2.24439,0.9747
1,2,Norris (McLaren),8,STRAIGHT,159.729,16.186,21.371,3.76329,
1,2,Norris (McLaren),9,CORNER,98.455,21.371,21.371,4.74199,0.9747
1,2,Norris (McLaren),10,STRAIGHT,110.381,21.371,23.88,2.54236,
1,2,Norris (McLaren),11,CORNER,68.669,23.88,23.88,3.0106,0.9747
1,3,Norris (McLaren),0,STRAIGHT,219.601,0.0,31.191,7.19439,
1,3,Norris (McLaren),1,CORNER,146.877,31.191,31.191,4.8439,0.9747
1,3,Norris (McLaren),2,STRAIGHT,138.346,31.191,28.486,2.47083,
1,3,Norris (McLaren),3,CORNER,102.011,28.486,28.486,3.71609,0.9747
1,3,Norris (McLaren),4,STRAIGHT,220.204,28.486,22.118,3.84232,
1,3,Norris (McLaren),5,CORNER,79.153,22.118,22.118,3.71364,0.9747
1,3,Norris (McLaren),6,STRAIGHT,218.733,22.118,16.186,4.2351,
1,3,Norris (McLaren),7,CORNER,34.143,16.186,16.186,2.24439,0.9747
1,3,Norris (McLaren),8,STRAIGHT,159.729,16.186,21.371,3.76329,
1,3,Norris (McLaren),9,CORNER,98.455,21.371,21.371,4.74199,0.9747
1,3,Norris (McLaren),10,STRAIGHT,110.381,21.371,23.88,2.54236,
1,3,Norris (McLaren),11,CORNER,68.669,23.88,23.88,3.0106,0.9747
1,4,Norris (McLaren),0,STRAIGHT,219.601,0.0,31.191,7.19439,
1,4,Norris (McLaren),1,CORNER,146.877,31.191,31.191,4.8439,0.9747
1,4,Norris (McLaren),2,STRAIGHT,138.346,31.191,28.486,2.47083,
1,4,Norris (McLaren),3,CORNER,102.011,28.486,28.486,3.71609,0.9747
1,4,Norris (McLaren),4,STRAIGHT,220.204,28.486,22.118,3.84232,
1,4,Norris (McLaren),5,CORNER,79.153,22.118,22.118,3.71364,0.9747
1,4,Norris (McLaren),6,STRAIGHT,218.733,22.118,16.186,4.2351,
1,4,Norris (McLaren),7,CORNER,34.143,16.186,16.186,2.24439,0.9747
