trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),46.21744,46.21744,Rainy,0.75
1,2,Hamilton (Mercedes),46.23822,92.45565,Rainy,0.75
1,3,Hamilton (Mercedes),46.43573,138.89139,Rainy,0.75
1,4,Hamilton (Mercedes),45.71043,184.60181,Rainy,0.75
1,5,Hamilton (Mercedes),46.49572,231.09753,Rainy,0.75
1,1,Verstappen (Red Bull),45.05054,45.05054,Rainy,0.75
1,2,Verstappen (Red Bull),45.12437,90.1749,Rainy,0.75
1,3,Verstappen (Red Bull),45.60811,135.78302,Rainy,0.75
1,4,Verstappen (Red Bull),45.36534,181.14836,Rainy,0.75
1,5,Verstappen (Red Bull),45.33832,226.48668,Rainy,0.75
1,1,Norris (McLaren),45.67513,45.67513,Rainy,0.75
1,2,Norris (McLaren),44.09534,89.77046,Rainy,0.75
1,3,Norris (McLaren),46.53833,136.30879,Rainy,0.75
1,4,Norris (McLaren),45.13141,181.4402,Rainy,0.75
1,5,Norris (McLaren),46.20277,227.64297,Rainy,0.75
1,1,Leclerc (Ferrari),44.49436,44.49436,Rainy,0.75
1,2,Leclerc (Ferrari),43.56252,88.05688,Rainy,0.75
1,3,Leclerc (Ferrari),45.27755,133.33443,Rainy,0.75
1,4,Leclerc (Ferrari),44.69498,178.02941,Rainy,0.75
1,5,Leclerc (Ferrari),44.93735,222.96676,Rainy,0.75
1,1,Russell (Williams),43.79409,43.79409,Rainy,0.75
1,2,Russell (Williams),44.44537,88.23946,Rainy,0.75
1,3,Russell (Williams),45.11689,133.35636,Rainy,0.75
1,4,Russell (Williams),44.22123,177.57759,Rainy,0.75
1,5,Russell (Williams),45.04382,222.62141,Rainy,0.75
1,1,Piastri (Alpine),44.8752,44.8752,Rainy,0.75
1,2,Piastri (Alpine),45.03968,89.91488,Rainy,0.75
1,3,Piastri (Alpine),44.51817,134.43304,Rainy,0.75
1,4,Piastri (Alpine),47.40615,181.83919,Rainy,0.75
1,5,Piastri (Alpine),46.29044,228.12963,Rainy,0.75
2,1,Hamilton (Mercedes),46.55678,46.55678,Rainy,0.75
2,2,Hamilton (Mercedes),45.25726,91.81404,Rainy,0.75
2,3,Hamilton (Mercedes),45.94429,137.75833,Rainy,0.75
2,4,Hamilton (Mercedes),46.96448,184.72281,Rainy,0.75
2,5,Hamilton (Mercedes),45.92551,230.64832,Rainy,0.75
2,1,Verstappen (Red Bull),45.45272,45.45272,Rainy,0.75
